Time (ns),Neutrons out per ns,DSR,Tion (keV)
9.524,1.87E+18,0.0441135,6.80371
9.525,1.93E+18,0.0441064,6.85254
9.526,1.98E+18,0.044109,6.90171
9.527,2.04E+18,0.0440928,6.95107
9.528,2.11E+18,0.0440283,7.00042
9.529,2.21E+18,0.0438858,7.0496
9.53,2.34E+18,0.0436389,7.09842
9.531,2.46E+18,0.0434283,7.14672
9.532,2.56E+18,0.0433373,7.19452
9.533,2.65E+18,0.0433111,7.24203
9.534,2.73E+18,0.0432944,7.2895
9.535,2.82E+18,0.0432321,7.33713
9.536,2.92E+18,0.0430773,7.38518
9.537,3.04E+18,0.0428408,7.43385
9.538,3.17E+18,0.0425579,7.48339
9.539,3.32E+18,0.0422639,7.53402
9.54,3.48E+18,0.041994,7.58598
9.541,3.65E+18,0.0417773,7.63949
9.542,3.83E+18,0.0416104,7.69477
9.543,4.03E+18,0.0414801,7.75207
9.544,4.22E+18,0.0413733,7.81161
9.545,4.43E+18,0.0412766,7.87361
9.546,4.63E+18,0.0411773,7.93831
9.547,4.85E+18,0.0410674,8.00594
9.548,5.06E+18,0.0409423,8.07673
9.549,5.29E+18,0.0407976,8.1509
9.55,5.53E+18,0.0406286,8.22869
9.551,5.79E+18,0.040431,8.31031
9.552,6.06E+18,0.0402018,8.39598
9.553,6.35E+18,0.0399381,8.48591
9.554,6.67E+18,0.0396372,8.58031
9.555,7.01E+18,0.0392963,8.67939
9.556,7.38E+18,0.0389178,8.78337
9.557,7.77E+18,0.038535,8.89245
9.558,8.19E+18,0.0381922,9.00684
9.559,8.65E+18,0.0379337,9.12677
9.56,9.14E+18,0.0377993,9.25243
9.561,9.66E+18,0.0377587,9.38405
9.562,1.02E+19,0.0377245,9.52183
9.563,1.07E+19,0.037608,9.66599
9.564,1.13E+19,0.0373203,9.81673
9.565,1.18E+19,0.0368134,9.97427
9.566,1.23E+19,0.0362333,10.1388
9.567,1.30E+19,0.0357561,10.3106
9.568,1.37E+19,0.0353825,10.4898
9.569,1.44E+19,0.0350434,10.6766
9.57,1.52E+19,0.0346698,10.8712
9.571,1.61E+19,0.034227,11.0733
9.572,1.70E+19,0.0337534,11.283
9.573,1.79E+19,0.0332971,11.5001
9.574,1.89E+19,0.0329059,11.7246
9.575,1.99E+19,0.0326115,11.9565
9.576,2.08E+19,0.0324023,12.1955
9.577,2.18E+19,0.0322596,12.4417
9.578,2.27E+19,0.0321644,12.695
9.579,2.35E+19,0.0320408,12.9552
9.58,2.43E+19,0.0316753,13.2224
9.581,2.52E+19,0.0309569,13.4964
9.582,2.61E+19,0.030248,13.7772
9.583,2.71E+19,0.0297362,14.0647
9.584,2.80E+19,0.0294305,14.3587
9.585,2.88E+19,0.0293247,14.6594
9.586,2.95E+19,0.0292834,14.9664
9.587,3.01E+19,0.0290949,15.2799
9.588,3.07E+19,0.0285507,15.5996
9.589,3.13E+19,0.0276452,15.925
9.59,3.18E+19,0.0266653,16.2555
9.591,3.22E+19,0.0259184,16.5901
9.592,3.26E+19,0.0255447,16.9282
9.593,3.29E+19,0.0254069,17.2688
9.594,3.30E+19,0.0253418,17.6113
9.595,3.30E+19,0.0251937,17.9548
9.596,3.29E+19,0.0248612,18.2986
9.597,3.30E+19,0.0242766,18.6417
9.598,3.27E+19,0.02366,18.9836
9.599,3.24E+19,0.0234828,19.3233
9.6,3.22E+19,0.0233,19.6601
9.601,3.14E+19,0.0232131,19.9931
9.602,3.09E+19,0.022415,20.3217
9.603,3.03E+19,0.0225863,20.645
9.604,2.97E+19,0.0219737,20.9621
9.605,2.88E+19,0.0220235,21.2724
9.606,2.82E+19,0.0208161,21.575
9.607,2.74E+19,0.0210643,21.8692
9.608,2.65E+19,0.0209268,22.1549
9.609,2.56E+19,0.0205146,22.432
9.61,2.49E+19,0.0200066,22.701
