Time (ns),Neutrons out(ns^-1),DSR,Tion (keV)
9.445,2.48E+17,0.0427887,5.241
9.446,2.55E+17,0.04295,5.24959
9.447,2.62E+17,0.0431083,5.25877
9.448,2.70E+17,0.0432634,5.26855
9.449,2.77E+17,0.0434154,5.27894
9.45,2.85E+17,0.0435641,5.28995
9.451,2.94E+17,0.0437095,5.30157
9.452,3.02E+17,0.0438515,5.3138
9.453,3.11E+17,0.0439901,5.32663
9.454,3.20E+17,0.0441252,5.34004
9.455,3.29E+17,0.0442567,5.35402
9.456,3.39E+17,0.0443846,5.36855
9.457,3.49E+17,0.0445089,5.38362
9.458,3.59E+17,0.0446294,5.39923
9.459,3.70E+17,0.044746,5.41535
9.46,3.81E+17,0.0448589,5.43198
9.461,3.92E+17,0.0449677,5.44909
9.462,4.04E+17,0.0450726,5.46668
9.463,4.16E+17,0.0451735,5.48474
9.464,4.29E+17,0.0452702,5.50324
9.465,4.42E+17,0.0453627,5.52219
9.466,4.56E+17,0.045451,5.54156
9.467,4.70E+17,0.045535,5.56134
9.468,4.84E+17,0.0456146,5.58151
9.469,4.99E+17,0.0456898,5.60208
9.47,5.14E+17,0.0457605,5.62301
9.471,5.31E+17,0.0458267,5.64431
9.472,5.47E+17,0.0458882,5.66595
9.473,5.65E+17,0.045945,5.68792
9.474,5.83E+17,0.0459971,5.71021
9.475,6.01E+17,0.0460445,5.73281
9.476,6.21E+17,0.0460869,5.75571
9.477,6.41E+17,0.0461244,5.77888
9.478,6.62E+17,0.0461569,5.80232
9.479,6.83E+17,0.0461844,5.82602
9.48,7.04E+17,0.0462068,5.84995
9.481,7.25E+17,0.0462239,5.87411
9.482,7.47E+17,0.0462359,5.89849
9.483,7.68E+17,0.0462425,5.92307
9.484,7.91E+17,0.0462438,5.94784
9.485,8.14E+17,0.0462396,5.97278
9.486,8.38E+17,0.04623,5.99789
9.487,8.62E+17,0.0462148,6.02314
9.488,8.88E+17,0.046194,6.04854
9.489,9.14E+17,0.0461675,6.07405
9.49,9.41E+17,0.0461353,6.09967
9.491,9.68E+17,0.0460973,6.12539
9.492,9.96E+17,0.0460534,6.1512
9.493,1.03E+18,0.0460036,6.17707
9.494,1.05E+18,0.0459478,6.203
9.495,1.08E+18,0.045886,6.22898
9.496,1.11E+18,0.045818,6.25499
9.497,1.14E+18,0.0457439,6.28101
9.498,1.18E+18,0.0456635,6.30704
9.499,1.21E+18,0.0455769,6.33307
9.5,1.24E+18,0.0454838,6.35907
9.501,1.27E+18,0.0453844,6.38504
9.502,1.30E+18,0.0452787,6.41101
9.503,1.34E+18,0.0451668,6.43701
9.504,1.37E+18,0.0450488,6.46306
9.505,1.40E+18,0.0449249,6.4892
9.506,1.44E+18,0.0447952,6.51546
9.507,1.47E+18,0.0446597,6.54187
9.508,1.51E+18,0.0445186,6.56846
9.509,1.55E+18,0.0443721,6.59525
9.51,1.59E+18,0.0442202,6.62229
9.511,1.63E+18,0.0440631,6.64959
9.512,1.67E+18,0.0439008,6.6772
9.513,1.71E+18,0.0437335,6.70514
9.514,1.75E+18,0.0435614,6.73343
9.515,1.80E+18,0.0433845,6.76213
9.516,1.84E+18,0.0432029,6.79124
9.517,1.89E+18,0.0430168,6.82081
9.518,1.93E+18,0.0428263,6.85086
9.519,1.98E+18,0.0426315,6.88142
9.52,2.03E+18,0.0424326,6.91253
9.521,2.08E+18,0.0422295,6.94421
9.522,2.13E+18,0.0420226,6.9765
9.523,2.18E+18,0.0418118,7.00942
9.524,2.23E+18,0.0415973,7.04301
9.525,2.28E+18,0.0413792,7.0773
