Time (ns),Neutrons out per ns,DSR,Tion (keV)
9.8,3.33E+16,0.03,5.60017
9.801,3.43E+16,0.0302497,5.59378
9.802,3.53E+16,0.0304994,5.58738
9.803,3.64E+16,0.0307491,5.58098
9.804,3.75E+16,0.0309988,5.57457
9.805,3.86E+16,0.0312485,5.56815
9.806,3.97E+16,0.0314982,5.56172
9.807,4.09E+16,0.0317479,5.55527
9.808,4.21E+16,0.0319975,5.5488
9.809,4.33E+16,0.0322472,5.54231
9.81,4.46E+16,0.0324969,5.53579
9.811,4.58E+16,0.0327466,5.52924
9.812,4.72E+16,0.0329963,5.52266
9.813,4.85E+16,0.033246,5.51605
9.814,4.99E+16,0.0334957,5.5094
9.815,5.13E+16,0.0337454,5.50272
9.816,5.27E+16,0.0339951,5.49599
9.817,5.42E+16,0.0342448,5.48922
9.818,5.58E+16,0.0344945,5.48243
9.819,5.73E+16,0.0347442,5.47563
9.82,5.89E+16,0.0349939,5.46883
9.821,6.06E+16,0.0352436,5.46207
9.822,6.22E+16,0.0354933,5.45534
9.823,6.40E+16,0.0357429,5.44868
9.824,6.58E+16,0.0359926,5.44208
9.825,6.76E+16,0.0362423,5.43558
9.826,6.95E+16,0.036492,5.42919
9.827,7.14E+16,0.0367417,5.42292
9.828,7.34E+16,0.0369914,5.41679
9.829,7.54E+16,0.0372411,5.41082
9.83,7.75E+16,0.0374908,5.40503
9.831,7.97E+16,0.0377405,5.39942
9.832,8.21E+16,0.0379902,5.39402
9.833,8.46E+16,0.0382399,5.38883
9.834,8.72E+16,0.0384896,5.38382
9.835,9.00E+16,0.0387393,5.37899
9.836,9.28E+16,0.038989,5.3743
9.837,9.58E+16,0.0392387,5.36975
9.838,9.87E+16,0.0394883,5.3653
9.839,1.02E+17,0.039738,5.36094
9.84,1.05E+17,0.0399877,5.35666
9.841,1.08E+17,0.0402374,5.35242
9.842,1.11E+17,0.0404871,5.34822
9.843,1.13E+17,0.0407368,5.34403
9.844,1.16E+17,0.0409865,5.33983
9.845,1.19E+17,0.0412362,5.3356
9.846,1.21E+17,0.0414859,5.33132
9.847,1.24E+17,0.0417356,5.32698
9.848,1.26E+17,0.0419853,5.32256
9.849,1.28E+17,0.042235,5.31807
9.85,1.30E+17,0.0424847,5.31358
9.851,1.32E+17,0.0427344,5.30912
9.852,1.34E+17,0.0429841,5.30476
9.853,1.36E+17,0.0432337,5.30055
9.854,1.38E+17,0.0434834,5.29654
9.855,1.40E+17,0.0437331,5.29277
9.856,1.43E+17,0.0439828,5.2893
9.857,1.45E+17,0.0442325,5.28619
9.858,1.48E+17,0.0444822,5.28349
9.859,1.51E+17,0.0447319,5.28124
9.86,1.54E+17,0.0449816,5.27949
9.861,1.57E+17,0.0452313,5.27831
9.862,1.61E+17,0.0455668,5.27774
9.863,1.65E+17,0.0457664,5.27784
9.864,1.70E+17,0.045966,5.27864
9.865,1.74E+17,0.0461656,5.28018
9.866,1.79E+17,0.0463651,5.28244
9.867,1.85E+17,0.0465647,5.28544
9.868,1.90E+17,0.0467643,5.28918
9.869,1.96E+17,0.0469639,5.29366
9.87,2.02E+17,0.0471635,5.29889
9.871,2.09E+17,0.047363,5.30488
9.872,2.15E+17,0.0475626,5.31162
9.873,2.22E+17,0.0477622,5.31912
9.874,2.29E+17,0.0479618,5.32738
9.875,2.36E+17,0.0481795,5.33642
9.876,2.44E+17,0.0484155,5.34622
9.877,2.52E+17,0.0486515,5.3568
9.878,2.60E+17,0.0488875,5.36817
9.879,2.68E+17,0.0491235,5.38032
9.88,2.77E+17,0.0493596,5.39325
9.881,2.86E+17,0.0494868,5.40693
