Time (ns),Neutrons out per ns,DSR,Tion (keV)
9.469,4.9893E+17,0.0456898,5.60208
9.47,5.14453E+17,0.0457605,5.62301
9.471,5.30558E+17,0.0458267,5.64431
9.472,5.47275E+17,0.0458882,5.66595
9.473,5.64632E+17,0.045945,5.68792
9.474,5.82659E+17,0.0459971,5.71021
9.475,6.01383E+17,0.0460445,5.73281
9.476,6.20831E+17,0.0460869,5.75571
9.477,6.40942E+17,0.0461244,5.77888
9.478,6.61568E+17,0.0461569,5.80232
9.479,6.82557E+17,0.0461844,5.82602
9.48,7.03756E+17,0.0462068,5.84995
9.481,7.25063E+17,0.0462239,5.87411
9.482,7.46577E+17,0.0462359,5.89849
9.483,7.68449E+17,0.0462425,5.92307
9.484,7.90828E+17,0.0462438,5.94784
9.485,8.13866E+17,0.0462396,5.97278
9.486,8.37699E+17,0.04623,5.99789
9.487,8.6235E+17,0.0462148,6.02314
9.488,8.87778E+17,0.046194,6.04854
9.489,9.13942E+17,0.0461675,6.07405
9.49,9.40798E+17,0.0461353,6.09967
9.491,9.68307E+17,0.0460973,6.12539
9.492,9.96425E+17,0.0460534,6.1512
9.493,1.02511E+18,0.0460036,6.17707
9.494,1.05432E+18,0.0459478,6.203
9.495,1.08402E+18,0.045886,6.22898
9.496,1.11416E+18,0.045818,6.25499
9.497,1.14469E+18,0.0457439,6.28101
9.498,1.17559E+18,0.0456635,6.30704
9.499,1.20682E+18,0.0455769,6.33307
9.5,1.23842E+18,0.0454838,6.35907
9.501,1.27045E+18,0.0453844,6.38504
9.502,1.30297E+18,0.0452787,6.41101
9.503,1.33602E+18,0.0451668,6.43701
9.504,1.36968E+18,0.0450488,6.46306
9.505,1.40399E+18,0.0449249,6.4892
9.506,1.43901E+18,0.0447952,6.51546
9.507,1.4748E+18,0.0446597,6.54187
9.508,1.51141E+18,0.0445186,6.56846
9.509,1.5489E+18,0.0443721,6.59525
9.51,1.58733E+18,0.0442202,6.62229
9.511,1.62676E+18,0.0440631,6.64959
9.512,1.66723E+18,0.0439008,6.6772
9.513,1.70881E+18,0.0437335,6.70514
9.514,1.75156E+18,0.0435614,6.73343
9.515,1.79552E+18,0.0433845,6.76213
9.516,1.84069E+18,0.0432029,6.79124
9.517,1.88696E+18,0.0430168,6.82081
9.518,1.93423E+18,0.0428263,6.85086
9.519,1.98237E+18,0.0426315,6.88142
9.52,2.03127E+18,0.0424326,6.91253
9.521,2.08082E+18,0.0422295,6.94421
9.522,2.1309E+18,0.0420226,6.9765
9.523,2.18141E+18,0.0418118,7.00942
9.524,2.23224E+18,0.0415973,7.04301
9.525,2.28325E+18,0.0413792,7.0773
9.526,2.33435E+18,0.0411577,7.11231
9.527,2.38543E+18,0.0409328,7.14809
9.528,2.43636E+18,0.0407047,7.18465
9.529,2.48703E+18,0.0404734,7.22202
9.53,2.53734E+18,0.0402392,7.26025
9.531,2.58777E+18,0.0400021,7.29936
9.532,2.64092E+18,0.0397623,7.33938
9.533,2.69736E+18,0.0395198,7.38033
9.534,2.75652E+18,0.0392748,7.42226
9.535,2.81782E+18,0.0390274,7.46519
9.536,2.88069E+18,0.0387777,7.50915
9.537,2.94455E+18,0.0385258,7.55417
9.538,3.00884E+18,0.0382719,7.60029
9.539,3.07298E+18,0.0380161,7.64753
9.54,3.1364E+18,0.0377584,7.69592
9.541,3.19852E+18,0.0374991,7.7455
9.542,3.25877E+18,0.0372382,7.79629
9.543,3.31657E+18,0.0369758,7.84833
9.544,3.37136E+18,0.0367121,7.90164
9.545,3.42255E+18,0.0364472,7.95626
9.546,3.46958E+18,0.0361812,8.01221
9.547,3.51648E+18,0.0359142,8.06953
9.548,3.56753E+18,0.0356464,8.12825
9.549,3.62889E+18,0.0353778,8.1884
9.55,3.67623E+18,0.0351085,8.25
9.551,3.7272E+18,0.0348388,8.31309
9.552,3.78126E+18,0.0345686,8.37764
9.553,3.82741E+18,0.0342979,8.44366
9.554,3.87309E+18,0.0340267,8.51113
9.555,3.90915E+18,0.0337552,8.58002
