Time (ns),Neutrons out per ns,DSR,Tion (keV)
9.38,7.88E+16,0.03637,5.42993
9.381,8.12E+16,0.0366237,5.42892
9.382,8.37E+16,0.0368776,5.42895
9.383,8.63E+16,0.0371316,5.42994
9.384,8.89E+16,0.0373856,5.43179
9.385,9.16E+16,0.0376396,5.43442
9.386,9.44E+16,0.0378935,5.43774
9.387,9.73E+16,0.0381473,5.44165
9.388,1.00E+17,0.0384008,5.44608
9.389,1.03E+17,0.0386541,5.45092
9.39,1.06E+17,0.0389071,5.45609
9.391,1.10E+17,0.0391597,5.46149
9.392,1.13E+17,0.0394118,5.46705
9.393,1.16E+17,0.0396634,5.47267
9.394,1.20E+17,0.0399145,5.47826
9.395,1.24E+17,0.0401649,5.48373
9.396,1.27E+17,0.0404147,5.48899
9.397,1.31E+17,0.0406637,5.49395
9.398,1.35E+17,0.0409118,5.49852
9.399,1.39E+17,0.0411591,5.50262
9.4,1.44E+17,0.0414055,5.50615
9.401,1.48E+17,0.0416509,5.50904
9.402,1.52E+17,0.0418951,5.51131
9.403,1.57E+17,0.0421381,5.51301
9.404,1.62E+17,0.0423797,5.51416
9.405,1.66E+17,0.0426198,5.5148
9.406,1.71E+17,0.0428582,5.51498
9.407,1.77E+17,0.0430948,5.51473
9.408,1.82E+17,0.0433296,5.51408
9.409,1.87E+17,0.0435622,5.51308
9.41,1.93E+17,0.0437927,5.51176
9.411,1.99E+17,0.0440209,5.51017
9.412,2.05E+17,0.0442466,5.50834
9.413,2.11E+17,0.0444698,5.5063
9.414,2.17E+17,0.0446902,5.50409
9.415,2.23E+17,0.0449078,5.50176
9.416,2.30E+17,0.0451225,5.49934
9.417,2.37E+17,0.045334,5.49687
9.418,2.44E+17,0.0455423,5.49439
9.419,2.51E+17,0.0457472,5.49193
9.42,2.59E+17,0.0459486,5.48953
9.421,2.66E+17,0.0461464,5.48723
9.422,2.74E+17,0.0463404,5.48507
9.423,2.82E+17,0.0465305,5.48308
9.424,2.90E+17,0.0467166,5.48131
9.425,2.99E+17,0.0468986,5.47978
9.426,3.07E+17,0.0470762,5.47855
9.427,3.16E+17,0.0472494,5.47764
9.428,3.25E+17,0.0474181,5.4771
9.429,3.34E+17,0.047582,5.47696
9.43,3.43E+17,0.0477412,5.47726
9.431,3.53E+17,0.0478953,5.47804
9.432,3.63E+17,0.0480444,5.47933
9.433,3.74E+17,0.0481883,5.48118
9.434,3.85E+17,0.0483269,5.48362
9.435,3.96E+17,0.0484599,5.48669
9.436,4.08E+17,0.0485873,5.49042
9.437,4.20E+17,0.048709,5.49486
9.438,4.32E+17,0.0488248,5.50004
9.439,4.44E+17,0.0489346,5.50601
9.44,4.57E+17,0.0490383,5.51279
9.441,4.71E+17,0.0491357,5.52043
9.442,4.84E+17,0.0492267,5.52896
9.443,4.98E+17,0.0493111,5.53842
9.444,5.13E+17,0.0493889,5.54885
9.445,5.28E+17,0.0494599,5.56029
9.446,5.43E+17,0.0495239,5.57278
9.447,5.59E+17,0.0495809,5.58635
9.448,5.76E+17,0.0496306,5.60104
9.449,5.93E+17,0.0496731,5.61689
9.45,6.11E+17,0.049708,5.63393
9.451,6.29E+17,0.0497355,5.6522
9.452,6.47E+17,0.0497554,5.67167
9.453,6.66E+17,0.0497679,5.69232
9.454,6.86E+17,0.0497731,5.71412
9.455,7.06E+17,0.049771,5.73703
9.456,7.27E+17,0.0497619,5.76103
9.457,7.48E+17,0.0497457,5.78609
9.458,7.70E+17,0.0497225,5.81218
9.459,7.93E+17,0.0496925,5.83927
9.46,8.15E+17,0.0496557,5.86734
9.461,8.39E+17,0.0496122,5.89634
9.462,8.62E+17,0.0495622,5.92625
9.463,8.87E+17,0.0495057,5.95705
9.464,9.11E+17,0.0494427,5.9887
9.465,9.36E+17,0.0493735,6.02118
9.466,9.62E+17,0.0492981,6.05445
9.467,9.88E+17,0.0492165,6.08849
9.468,1.01E+18,0.0491289,6.12327
9.469,1.04E+18,0.0490354,6.15875
9.47,1.07E+18,0.048936,6.19491
9.471,1.10E+18,0.0488309,6.23172
9.472,1.13E+18,0.0487201,6.26915
9.473,1.16E+18,0.0486038,6.30717
9.474,1.19E+18,0.048482,6.34575
9.475,1.22E+18,0.0483547,6.38487
9.476,1.25E+18,0.0482222,6.42449
9.477,1.28E+18,0.0480845,6.46458
9.478,1.31E+18,0.0479417,6.50511
9.479,1.35E+18,0.0477939,6.54606
9.48,1.38E+18,0.0476412,6.58739
9.481,1.41E+18,0.0474836,6.62908
9.482,1.44E+18,0.0473213,6.6711
9.483,1.47E+18,0.0471543,6.71342
9.484,1.51E+18,0.0469828,6.756
9.485,1.54E+18,0.0468068,6.79883
9.486,1.57E+18,0.0466265,6.84186
9.487,1.60E+18,0.0464419,6.88508
9.488,1.63E+18,0.0462531,6.92844
9.489,1.66E+18,0.0460602,6.97193
9.49,1.70E+18,0.0458632,7.01551
9.491,1.73E+18,0.0456624,7.05916
9.492,1.76E+18,0.0454578,7.10284
9.493,1.79E+18,0.0452494,7.14652
9.494,1.82E+18,0.0450375,7.19018
9.495,1.85E+18,0.0448219,7.23379
9.496,1.88E+18,0.0446029,7.27731
9.497,1.90E+18,0.0443806,7.32073
9.498,1.93E+18,0.044155,7.364
9.499,1.96E+18,0.0439262,7.4071
9.5,1.98E+18,0.0436944,7.45
9.501,2.00E+18,0.0434595,7.49267
9.502,2.03E+18,0.0432218,7.53509
9.503,2.05E+18,0.0429812,7.57723
9.504,2.07E+18,0.0427379,7.61905
9.505,2.09E+18,0.0424919,7.66054
9.506,2.10E+18,0.0422434,7.70167
9.507,2.12E+18,0.0419924,7.74241
9.508,2.13E+18,0.0417389,7.78274
9.509,2.14E+18,0.0414832,7.82262
9.51,2.15E+18,0.0412251,7.86204
9.511,2.16E+18,0.040965,7.90096
9.512,2.17E+18,0.0407027,7.93936
9.513,2.17E+18,0.0404385,7.97722
9.514,2.17E+18,0.0401723,8.0145
9.515,2.17E+18,0.0399043,8.05117
9.516,2.17E+18,0.0396346,8.08722
9.517,2.17E+18,0.0393632,8.12262
9.518,2.16E+18,0.0390902,8.15734
