time(us),Total rhor (gm/cm^2),HS rhor (gm/cm^2),burnrate (us^-1),tion(keV)
-2.008333e-04,5.658000e-01,2.713000e-01,1.900100e+18,5.072000e+00
-1.925000e-04,6.868000e-01,3.443000e-01,4.742600e+18,5.351900e+00
-1.758333e-04,7.289000e-01,3.717000e-01,6.117800e+18,5.341600e+00
-1.591667e-04,8.305000e-01,4.374000e-01,1.034500e+19,5.336800e+00
-1.425000e-04,9.968000e-01,5.309000e-01,2.201900e+19,5.592000e+00
-1.266667e-04,1.082600e+00,5.783000e-01,3.282000e+19,5.811800e+00
-1.133333e-04,1.165200e+00,6.224000e-01,4.995400e+19,6.053500e+00
-1.025000e-04,1.290300e+00,6.806000e-01,1.200300e+20,6.743300e+00
-9.250000e-05,1.325700e+00,6.931000e-01,2.219500e+20,7.496200e+00
-8.250000e-05,1.320400e+00,6.840000e-01,2.849900e+20,7.784400e+00
-7.250000e-05,1.227100e+00,6.125000e-01,5.984100e+20,8.606500e+00
-6.250000e-05,1.216100e+00,6.056000e-01,6.400600e+20,8.702400e+00
-5.250000e-05,1.185900e+00,5.885000e-01,7.311100e+20,8.905300e+00
-4.250000e-05,1.141700e+00,5.650000e-01,8.989700e+20,9.235000e+00
-3.250000e-05,1.094000e+00,5.414000e-01,1.065500e+21,9.543300e+00
-2.312500e-05,1.041500e+00,5.161000e-01,1.237400e+21,9.846200e+00
-1.562500e-05,1.031100e+00,5.112000e-01,1.279000e+21,9.922100e+00
-1.000000e-05,9.844000e-01,4.893000e-01,1.401300e+21,1.013560e+01
-5.000000e-06,9.237000e-01,4.619000e-01,1.523600e+21,1.038940e+01
0.000000e+00,8.638000e-01,4.349000e-01,1.590400e+21,1.059330e+01
5.000000e-06,8.024000e-01,4.069000e-01,1.557500e+21,1.069760e+01
1.000000e-05,8.009000e-01,4.063000e-01,1.548100e+21,1.068480e+01
1.500000e-05,7.435000e-01,3.791000e-01,1.420000e+21,1.063390e+01
2.000000e-05,7.109000e-01,3.630000e-01,1.302500e+21,1.051880e+01
2.500000e-05,6.618000e-01,3.382000e-01,1.130700e+21,1.030720e+01
3.000000e-05,6.424000e-01,3.282000e-01,1.059200e+21,1.018950e+01
3.500000e-05,6.230000e-01,3.181000e-01,9.748100e+20,1.003650e+01
4.000000e-05,6.036000e-01,3.078000e-01,8.890100e+20,9.865400e+00
4.500000e-05,5.901000e-01,3.005000e-01,8.292600e+20,9.734600e+00
5.000000e-05,5.840000e-01,2.972000e-01,8.023900e+20,9.671900e+00
5.500000e-05,5.643000e-01,2.865000e-01,7.166900e+20,9.456800e+00
6.000000e-05,5.443000e-01,2.754000e-01,6.326300e+20,9.221200e+00
6.500000e-05,5.242000e-01,2.642000e-01,5.509400e+20,8.963800e+00
7.000000e-05,5.040000e-01,2.528000e-01,4.729300e+20,8.685600e+00
7.500000e-05,4.294000e-01,2.101000e-01,2.348000e+20,7.509100e+00
8.437500e-05,3.795000e-01,1.810000e-01,1.260200e+20,6.604300e+00
1.068750e-04,3.210000e-01,1.466000e-01,4.823800e+19,5.438800e+00
1.343750e-04,2.692000e-01,1.165000e-01,1.529600e+19,4.336400e+00
