Time (ns),Neutrons out per ns,DSR,Tion (keV)
9.38,3.82E+16,0.0291115,5.20866
9.381,3.94E+16,0.0294271,5.20213
9.382,4.05E+16,0.0297337,5.19795
9.383,4.17E+16,0.0300318,5.19595
9.384,4.29E+16,0.0303221,5.19595
9.385,4.41E+16,0.0306049,5.19778
9.386,4.53E+16,0.030881,5.20126
9.387,4.66E+16,0.0311507,5.20621
9.388,4.79E+16,0.0314146,5.21246
9.389,4.93E+16,0.0316733,5.21983
9.39,5.07E+16,0.0319273,5.22816
9.391,5.21E+16,0.0321771,5.23725
9.392,5.35E+16,0.0324233,5.24694
9.393,5.50E+16,0.0326663,5.25706
9.394,5.65E+16,0.0329068,5.26742
9.395,5.81E+16,0.0331453,5.27784
9.396,5.97E+16,0.0333822,5.28817
9.397,6.14E+16,0.0336182,5.29821
9.398,6.31E+16,0.0338538,5.3078
9.399,6.48E+16,0.0340894,5.31675
9.4,6.66E+16,0.0343257,5.3249
9.401,6.84E+16,0.034563,5.3321
9.402,7.03E+16,0.0348014,5.33836
9.403,7.22E+16,0.0350407,5.34371
9.404,7.42E+16,0.0352809,5.34819
9.405,7.62E+16,0.0355217,5.35186
9.406,7.84E+16,0.0357631,5.35473
9.407,8.05E+16,0.036005,5.35686
9.408,8.28E+16,0.0362472,5.35829
9.409,8.51E+16,0.0364896,5.35904
9.41,8.75E+16,0.0367321,5.35917
9.411,8.99E+16,0.0369746,5.35871
9.412,9.25E+16,0.0372169,5.3577
9.413,9.51E+16,0.037459,5.35618
9.414,9.78E+16,0.0377008,5.3542
9.415,1.01E+17,0.037942,5.35178
9.416,1.03E+17,0.0381826,5.34897
9.417,1.06E+17,0.0384225,5.34581
9.418,1.09E+17,0.0386615,5.34234
9.419,1.12E+17,0.0388996,5.33859
9.42,1.16E+17,0.0391366,5.33461
9.421,1.19E+17,0.0393724,5.33044
9.422,1.22E+17,0.0396068,5.32612
9.423,1.25E+17,0.0398398,5.32168
9.424,1.29E+17,0.0400713,5.31716
9.425,1.32E+17,0.040301,5.31261
9.426,1.36E+17,0.040529,5.30806
9.427,1.39E+17,0.0407551,5.30356
9.428,1.43E+17,0.0409791,5.29914
9.429,1.47E+17,0.0412009,5.29484
9.43,1.51E+17,0.0414205,5.29071
9.431,1.55E+17,0.0416377,5.28677
9.432,1.59E+17,0.0418524,5.28308
9.433,1.63E+17,0.0420644,5.27966
9.434,1.68E+17,0.0422737,5.27657
9.435,1.72E+17,0.0424802,5.27383
9.436,1.77E+17,0.0426836,5.2715
9.437,1.82E+17,0.042884,5.2696
9.438,1.87E+17,0.0430811,5.26818
9.439,1.92E+17,0.0432749,5.26728
9.44,1.98E+17,0.0434652,5.26693
9.441,2.03E+17,0.043652,5.26718
9.442,2.09E+17,0.043835,5.26806
9.443,2.15E+17,0.0440142,5.26962
9.444,2.21E+17,0.0441895,5.2719
9.445,2.27E+17,0.0443608,5.27493
9.446,2.34E+17,0.0445278,5.27875
9.447,2.40E+17,0.0446906,5.28341
9.448,2.47E+17,0.044849,5.28893
9.449,2.54E+17,0.0450028,5.29537
9.45,2.62E+17,0.045152,5.30277
9.451,2.69E+17,0.0452965,5.31114
9.452,2.77E+17,0.0454361,5.32047
9.453,2.85E+17,0.045571,5.33074
9.454,2.94E+17,0.0457012,5.34192
9.455,3.03E+17,0.0458265,5.35398
9.456,3.12E+17,0.0459471,5.36688
9.457,3.21E+17,0.0460628,5.38062
9.458,3.31E+17,0.0461738,5.39515
9.459,3.41E+17,0.04628,5.41045
9.46,3.52E+17,0.0463814,5.42649
9.461,3.63E+17,0.0464779,5.44324
9.462,3.75E+17,0.0465697,5.46068
9.463,3.87E+17,0.0466567,5.47877
9.464,3.99E+17,0.0467388,5.4975
9.465,4.12E+17,0.0468161,5.51682
9.466,4.26E+17,0.0468886,5.53673
9.467,4.40E+17,0.0469563,5.55717
9.468,4.55E+17,0.0470191,5.57814
9.469,4.70E+17,0.0470771,5.5996
9.47,4.87E+17,0.0471303,5.62152
9.471,5.03E+17,0.0471786,5.64387
9.472,5.21E+17,0.0472221,5.66664
9.473,5.39E+17,0.0472607,5.68978
9.474,5.57E+17,0.0472944,5.71327
9.475,5.77E+17,0.0473234,5.73709
9.476,5.97E+17,0.0473474,5.76121
9.477,6.18E+17,0.0473666,5.78559
9.478,6.40E+17,0.0473809,5.81022
9.479,6.63E+17,0.0473903,5.83506
9.48,6.86E+17,0.0473949,5.86008
9.481,7.10E+17,0.0473945,5.88526
9.482,7.35E+17,0.0473893,5.91057
9.483,7.60E+17,0.0473792,5.93598
9.484,7.86E+17,0.0473642,5.96147
9.485,8.13E+17,0.0473443,5.987
9.486,8.41E+17,0.0473195,6.01256
9.487,8.69E+17,0.0472898,6.0381
9.488,8.98E+17,0.0472552,6.0636
9.489,9.28E+17,0.0472157,6.08904
9.49,9.58E+17,0.0471713,6.11439
9.491,9.90E+17,0.0471219,6.13962
9.492,1.02E+18,0.0470676,6.1647
9.493,1.05E+18,0.0470084,6.1896
9.494,1.09E+18,0.0469443,6.2143
9.495,1.12E+18,0.0468752,6.23877
9.496,1.15E+18,0.0468012,6.26298
9.497,1.19E+18,0.0467222,6.28691
9.498,1.22E+18,0.0466383,6.31051
9.499,1.26E+18,0.0465494,6.33378
9.5,1.29E+18,0.0464556,6.35667
9.501,1.33E+18,0.0463568,6.37918
9.502,1.37E+18,0.0462531,6.40135
9.503,1.40E+18,0.0461445,6.42323
9.504,1.44E+18,0.0460311,6.44488
9.505,1.48E+18,0.0459129,6.46636
9.506,1.52E+18,0.0457899,6.48771
9.507,1.57E+18,0.0456621,6.509
9.508,1.61E+18,0.0455297,6.53029
9.509,1.66E+18,0.0453926,6.55161
9.51,1.70E+18,0.0452509,6.57305
9.511,1.75E+18,0.0451045,6.59464
9.512,1.80E+18,0.0449537,6.61644
9.513,1.85E+18,0.0447983,6.63851
9.514,1.90E+18,0.0446385,6.66091
9.515,1.95E+18,0.0444742,6.68369
9.516,2.01E+18,0.0443055,6.70691
9.517,2.07E+18,0.0441325,6.73061
9.518,2.13E+18,0.0439551,6.75487
9.519,2.19E+18,0.0437735,6.77973
9.52,2.25E+18,0.0435876,6.80525
9.521,2.31E+18,0.0433975,6.83148
9.522,2.38E+18,0.0432032,6.85848
9.523,2.44E+18,0.0430048,6.88631
9.524,2.51E+18,0.0428023,6.91502
9.525,2.58E+18,0.0425957,6.94467
9.526,2.65E+18,0.0423851,6.97531
9.527,2.73E+18,0.0421705,7.007
9.528,2.80E+18,0.041952,7.03979
9.529,2.88E+18,0.0417295,7.07375
9.53,2.95E+18,0.0415032,7.10892
9.531,3.02E+18,0.041273,7.14536
9.532,3.10E+18,0.0410391,7.18312
9.533,3.19E+18,0.0408014,7.22227
9.534,3.29E+18,0.0405599,7.26286
9.535,3.39E+18,0.0403148,7.30494
9.536,3.49E+18,0.040066,7.34857
9.537,3.58E+18,0.0398136,7.39381
9.538,3.67E+18,0.0395576,7.4407
9.539,3.77E+18,0.0392981,7.48931
9.54,3.89E+18,0.0390351,7.5397
9.541,3.99E+18,0.0387686,7.59191
9.542,4.09E+18,0.0384987,7.646
9.543,4.19E+18,0.0382254,7.70204
9.544,4.31E+18,0.0379488,7.76006
9.545,4.40E+18,0.0376688,7.82014
9.546,4.53E+18,0.0373856,7.88233
9.547,4.64E+18,0.0370991,7.94667
9.548,4.75E+18,0.0368095,8.01323
9.549,4.87E+18,0.0365166,8.08207
9.55,4.98E+18,0.0362207,8.15323
9.551,5.10E+18,0.0359216,8.22675
9.552,5.21E+18,0.0356197,8.30258
9.553,5.32E+18,0.0353148,8.38063
9.554,5.44E+18,0.0350073,8.46082
9.555,5.56E+18,0.0346973,8.54308
9.556,5.66E+18,0.0343848,8.62731
9.557,5.76E+18,0.03407,8.71344
9.558,5.88E+18,0.0337531,8.80139
9.559,5.98E+18,0.0334341,8.89108
9.56,6.09E+18,0.0331132,8.98243
9.561,6.18E+18,0.0327906,9.07535
9.562,6.27E+18,0.0324663,9.16977
9.563,6.34E+18,0.0321406,9.2656
9.564,6.44E+18,0.0318135,9.36277
9.565,6.52E+18,0.0314851,9.46119
9.566,6.57E+18,0.0311557,9.56078
9.567,6.64E+18,0.0308253,9.66147
9.568,6.69E+18,0.030494,9.76317
9.569,6.74E+18,0.0301621,9.8658
9.57,6.79E+18,0.0298295,9.96928
9.571,6.81E+18,0.0294966,10.0735
9.572,6.81E+18,0.0291633,10.1785
9.573,6.82E+18,0.0288299,10.284
9.574,6.84E+18,0.0284964,10.3901
9.575,6.83E+18,0.0281631,10.4966
9.576,6.81E+18,0.0278299,10.6035
9.577,6.77E+18,0.0274971,10.7106
9.578,6.74E+18,0.0271648,10.818
9.579,6.68E+18,0.0268332,10.9255
9.58,6.64E+18,0.0265023,11.033
9.581,6.58E+18,0.0261722,11.1405
9.582,6.49E+18,0.0258432,11.2479
9.583,6.41E+18,0.0255154,11.3551
9.584,6.33E+18,0.0251889,11.462
9.585,6.22E+18,0.0248637,11.5685
9.586,6.12E+18,0.0245402,11.6746
9.587,6.00E+18,0.0242183,11.7802
9.588,5.89E+18,0.0238982,11.8852
9.589,5.77E+18,0.0235801,11.9895
9.59,5.63E+18,0.0232641,12.093
9.591,5.50E+18,0.0229502,12.1957
9.592,5.37E+18,0.0226388,12.2974
9.593,5.22E+18,0.0223298,12.3982
9.594,5.08E+18,0.0220234,12.4978
9.595,4.93E+18,0.0217198,12.5963
9.596,4.78E+18,0.0214191,12.6935
