Time (ns),Neutrons out per ns,DSR,Tion (keV)
9.8,2.53E+16,0.031,5.48331
9.801,2.61E+16,0.0311591,5.4819
9.802,2.69E+16,0.0313191,5.4802
9.803,2.78E+16,0.0314798,5.47822
9.804,2.87E+16,0.0316414,5.47597
9.805,2.96E+16,0.0318038,5.47348
9.806,3.05E+16,0.0319671,5.47075
9.807,3.14E+16,0.0321312,5.4678
9.808,3.24E+16,0.0322961,5.46464
9.809,3.34E+16,0.0324619,5.4613
9.81,3.44E+16,0.0326285,5.45779
9.811,3.55E+16,0.032796,5.45411
9.812,3.65E+16,0.0329643,5.4503
9.813,3.76E+16,0.0331335,5.44635
9.814,3.87E+16,0.0333036,5.44229
9.815,3.99E+16,0.0334745,5.43814
9.816,4.10E+16,0.0336464,5.4339
9.817,4.22E+16,0.0338191,5.4296
9.818,4.34E+16,0.0339927,5.42524
9.819,4.47E+16,0.0341671,5.42085
9.82,4.59E+16,0.0343425,5.41644
9.821,4.72E+16,0.0345188,5.41202
9.822,4.86E+16,0.034696,5.40759
9.823,4.99E+16,0.0348741,5.40316
9.824,5.13E+16,0.0350531,5.39871
9.825,5.27E+16,0.035233,5.39426
9.826,5.42E+16,0.0354139,5.3898
9.827,5.56E+16,0.0355956,5.38532
9.828,5.71E+16,0.0357784,5.38084
9.829,5.87E+16,0.035962,5.37634
9.83,6.02E+16,0.0361466,5.37183
9.831,6.18E+16,0.0363321,5.36731
9.832,6.35E+16,0.0365186,5.36277
9.833,6.53E+16,0.0367061,5.35821
9.834,6.72E+16,0.0368945,5.35364
9.835,6.93E+16,0.0370839,5.34906
9.836,7.14E+16,0.0372742,5.34445
9.837,7.37E+16,0.0374656,5.33983
9.838,7.60E+16,0.0376579,5.33518
9.839,7.84E+16,0.0378512,5.33052
9.84,8.08E+16,0.0380454,5.32584
9.841,8.32E+16,0.0382407,5.32113
9.842,8.57E+16,0.038437,5.3164
9.843,8.82E+16,0.0386343,5.31165
9.844,9.06E+16,0.0388326,5.30687
9.845,9.30E+16,0.039032,5.30207
9.846,9.53E+16,0.0392323,5.29725
9.847,9.76E+16,0.0394337,5.29242
9.848,9.98E+16,0.0396361,5.28761
9.849,1.02E+17,0.0398395,5.28284
9.85,1.04E+17,0.040044,5.27812
9.851,1.06E+17,0.0402496,5.2735
9.852,1.07E+17,0.0404562,5.26897
9.853,1.09E+17,0.0406639,5.26457
9.854,1.11E+17,0.0408726,5.26032
9.855,1.12E+17,0.0410824,5.25624
9.856,1.14E+17,0.0412933,5.25235
9.857,1.15E+17,0.0415052,5.24867
9.858,1.17E+17,0.0417183,5.24522
9.859,1.19E+17,0.0419324,5.24203
9.86,1.21E+17,0.0421476,5.23912
9.861,1.23E+17,0.042364,5.23651
9.862,1.25E+17,0.0425814,5.23421
9.863,1.27E+17,0.0428,5.23226
9.864,1.30E+17,0.0428,5.23067
9.865,1.33E+17,0.0427745,5.22947
9.866,1.36E+17,0.0429708,5.22868
9.867,1.39E+17,0.043167,5.22831
9.868,1.43E+17,0.0433633,5.22839
9.869,1.46E+17,0.0435596,5.22895
9.87,1.50E+17,0.0437559,5.23
9.871,1.54E+17,0.0439521,5.23156
9.872,1.59E+17,0.0441484,5.23365
9.873,1.63E+17,0.0443447,5.23626
9.874,1.67E+17,0.0445409,5.2394
9.875,1.72E+17,0.0447372,5.24308
9.876,1.77E+17,0.0449335,5.24731
9.877,1.81E+17,0.0451298,5.25209
