Time (ns),Neutrons out per ns,DSR,Tion (keV)
9.38,4.10E+16,0.0290912,5.71402
9.381,4.22E+16,0.0292857,5.71212
9.382,4.33E+16,0.0294854,5.71051
9.383,4.45E+16,0.0296901,5.70918
9.384,4.58E+16,0.0298996,5.70806
9.385,4.71E+16,0.0301136,5.70713
9.386,4.84E+16,0.0303319,5.70634
9.387,4.97E+16,0.0305541,5.70565
9.388,5.11E+16,0.0307801,5.70503
9.389,5.25E+16,0.0310095,5.70442
9.39,5.40E+16,0.0312422,5.70379
9.391,5.55E+16,0.0314778,5.70309
9.392,5.71E+16,0.0317161,5.7023
9.393,5.87E+16,0.0319569,5.70136
9.394,6.04E+16,0.0321999,5.70024
9.395,6.21E+16,0.0324448,5.69889
9.396,6.39E+16,0.0326913,5.69727
9.397,6.57E+16,0.0329393,5.69535
9.398,6.76E+16,0.0331884,5.69308
9.399,6.96E+16,0.0334384,5.69042
9.4,7.16E+16,0.0336891,5.68733
9.401,7.38E+16,0.0339402,5.68378
9.402,7.59E+16,0.0341915,5.67979
9.403,7.82E+16,0.034443,5.67539
9.404,8.05E+16,0.0346946,5.6706
9.405,8.29E+16,0.0349461,5.66545
9.406,8.54E+16,0.0351975,5.65998
9.407,8.80E+16,0.0354485,5.65421
9.408,9.07E+16,0.0356992,5.64816
9.409,9.34E+16,0.0359494,5.64187
9.41,9.63E+16,0.036199,5.63537
9.411,9.92E+16,0.0364479,5.62868
9.412,1.02E+17,0.036696,5.62183
9.413,1.05E+17,0.0369431,5.61485
9.414,1.09E+17,0.0371892,5.60777
9.415,1.12E+17,0.0374342,5.60062
9.416,1.15E+17,0.0376779,5.59343
9.417,1.19E+17,0.0379202,5.58622
9.418,1.22E+17,0.0381611,5.57902
9.419,1.26E+17,0.0384003,5.57186
9.42,1.30E+17,0.0386379,5.56477
9.421,1.34E+17,0.0388737,5.55777
9.422,1.38E+17,0.0391075,5.55091
9.423,1.42E+17,0.0393393,5.5442
9.424,1.47E+17,0.039569,5.53767
9.425,1.51E+17,0.0397965,5.53135
9.426,1.56E+17,0.0400216,5.52527
9.427,1.60E+17,0.0402442,5.51946
9.428,1.65E+17,0.0404643,5.51394
9.429,1.70E+17,0.0406816,5.50875
9.43,1.75E+17,0.0408962,5.50392
9.431,1.81E+17,0.0411079,5.49946
9.432,1.86E+17,0.0413166,5.49542
9.433,1.92E+17,0.0415222,5.49181
9.434,1.97E+17,0.0417245,5.48867
9.435,2.03E+17,0.0419235,5.48602
9.436,2.09E+17,0.0421191,5.4839
9.437,2.15E+17,0.0423111,5.48233
9.438,2.22E+17,0.0424994,5.48134
9.439,2.28E+17,0.0426839,5.48096
9.44,2.35E+17,0.0428646,5.48121
9.441,2.42E+17,0.0430413,5.48213
9.442,2.49E+17,0.0432139,5.48375
9.443,2.57E+17,0.0433822,5.48609
9.444,2.64E+17,0.0435463,5.48917
9.445,2.72E+17,0.0437059,5.49304
9.446,2.80E+17,0.0438609,5.49771
9.447,2.89E+17,0.0440114,5.50322
9.448,2.98E+17,0.044157,5.5096
9.449,3.07E+17,0.0442978,5.51686
9.45,3.16E+17,0.0444336,5.52505
9.451,3.25E+17,0.0445643,5.53418
9.452,3.35E+17,0.04469,5.54424
9.453,3.46E+17,0.0448106,5.5552
9.454,3.56E+17,0.0449261,5.56705
9.455,3.68E+17,0.0450365,5.57977
9.456,3.79E+17,0.0451418,5.59333
9.457,3.91E+17,0.0452421,5.60771
9.458,4.04E+17,0.0453374,5.6229
9.459,4.17E+17,0.0454276,5.63887
9.46,4.30E+17,0.0455127,5.6556
9.461,4.45E+17,0.0455928,5.67307
9.462,4.59E+17,0.0456678,5.69126
9.463,4.74E+17,0.0457378,5.71015
9.464,4.90E+17,0.0458028,5.72971
9.465,5.07E+17,0.0458627,5.74993
9.466,5.24E+17,0.0459176,5.77078
9.467,5.42E+17,0.0459675,5.79225
9.468,5.60E+17,0.0460124,5.81432
9.469,5.80E+17,0.0460522,5.83695
9.47,6.00E+17,0.0460871,5.86014
9.471,6.21E+17,0.0461169,5.88386
9.472,6.42E+17,0.0461417,5.90808
9.473,6.65E+17,0.0461616,5.9328
9.474,6.88E+17,0.0461764,5.95798
9.475,7.13E+17,0.0461863,5.98361
9.476,7.38E+17,0.0461912,6.00966
9.477,7.65E+17,0.046191,6.03612
9.478,7.92E+17,0.046186,6.06297
9.479,8.20E+17,0.0461759,6.09017
9.48,8.50E+17,0.0461609,6.11772
9.481,8.81E+17,0.0461409,6.14559
9.482,9.13E+17,0.0461159,6.17376
9.483,9.46E+17,0.046086,6.20221
9.484,9.80E+17,0.0460512,6.23091
9.485,1.02E+18,0.0460114,6.25986
9.486,1.05E+18,0.0459666,6.28902
9.487,1.09E+18,0.0459169,6.31837
9.488,1.13E+18,0.0458623,6.3479
9.489,1.17E+18,0.0458028,6.37758
9.49,1.21E+18,0.0457383,6.4074
9.491,1.25E+18,0.0456689,6.43733
9.492,1.29E+18,0.0455945,6.46734
9.493,1.34E+18,0.0455153,6.49743
9.494,1.38E+18,0.0454312,6.52757
9.495,1.43E+18,0.0453421,6.55773
9.496,1.47E+18,0.0452481,6.5879
9.497,1.52E+18,0.0451493,6.61806
9.498,1.57E+18,0.0450455,6.64818
9.499,1.62E+18,0.0449369,6.67824
9.5,1.67E+18,0.0448234,6.70823
9.501,1.72E+18,0.044705,6.73814
9.502,1.77E+18,0.0445817,6.76803
9.503,1.83E+18,0.0444537,6.79798
9.504,1.89E+18,0.044321,6.82809
9.505,1.95E+18,0.0441835,6.85842
9.506,2.01E+18,0.0440414,6.88906
9.507,2.07E+18,0.0438947,6.92009
9.508,2.14E+18,0.0437435,6.95159
9.509,2.21E+18,0.0435877,6.98365
9.51,2.29E+18,0.0434275,7.01635
