Time (ns),Neutrons out per ns,DSR,Tion (keV)
9.38,8.27E+16,0.0349802,5.84097
9.381,8.54E+16,0.0352497,5.84215
9.382,8.83E+16,0.0355225,5.84351
9.383,9.12E+16,0.0357984,5.84505
9.384,9.42E+16,0.0360769,5.84676
9.385,9.72E+16,0.0363578,5.84863
9.386,1.00E+17,0.0366406,5.85065
9.387,1.03E+17,0.0369249,5.85281
9.388,1.06E+17,0.0372105,5.85512
9.389,1.10E+17,0.0374969,5.85756
9.39,1.13E+17,0.0377839,5.86012
9.391,1.16E+17,0.0380709,5.8628
9.392,1.19E+17,0.0383578,5.86559
9.393,1.22E+17,0.0386441,5.86848
9.394,1.25E+17,0.0389294,5.87147
9.395,1.28E+17,0.0392134,5.87455
9.396,1.31E+17,0.0394958,5.87772
9.397,1.35E+17,0.0397762,5.88095
9.398,1.38E+17,0.0400541,5.88426
9.399,1.41E+17,0.0403293,5.88762
9.4,1.45E+17,0.0406015,5.89104
9.401,1.48E+17,0.0408702,5.89451
9.402,1.52E+17,0.0411354,5.89805
9.403,1.56E+17,0.041397,5.90165
9.404,1.60E+17,0.0416549,5.90534
9.405,1.64E+17,0.0419092,5.90913
9.406,1.69E+17,0.0421597,5.91303
9.407,1.74E+17,0.0424064,5.91706
9.408,1.79E+17,0.0426493,5.92123
9.409,1.84E+17,0.0428882,5.92556
9.41,1.90E+17,0.0431231,5.93005
9.411,1.96E+17,0.043354,5.93472
9.412,2.02E+17,0.0435808,5.93959
9.413,2.09E+17,0.0438034,5.94466
9.414,2.16E+17,0.0440218,5.94995
9.415,2.24E+17,0.0442359,5.95548
9.416,2.32E+17,0.0444457,5.96125
9.417,2.40E+17,0.0446511,5.96729
9.418,2.49E+17,0.044852,5.97359
9.419,2.59E+17,0.0450484,5.98019
9.42,2.68E+17,0.0452403,5.98709
9.421,2.79E+17,0.0454275,5.99429
9.422,2.90E+17,0.0456101,6.00183
9.423,3.01E+17,0.0457879,6.00971
9.424,3.14E+17,0.0459609,6.01794
9.425,3.26E+17,0.046129,6.02654
9.426,3.40E+17,0.0462922,6.03552
9.427,3.54E+17,0.0464505,6.04489
9.428,3.69E+17,0.0466037,6.05467
9.429,3.84E+17,0.0467518,6.06488
9.43,4.00E+17,0.0468948,6.07551
9.431,4.17E+17,0.0470325,6.0866
9.432,4.35E+17,0.047165,6.09814
9.433,4.53E+17,0.0472922,6.11016
9.434,4.72E+17,0.047414,6.12267
9.435,4.92E+17,0.0475303,6.13567
9.436,5.12E+17,0.0476411,6.1492
9.437,5.33E+17,0.0477464,6.16325
9.438,5.54E+17,0.0478461,6.17784
9.439,5.76E+17,0.0479401,6.19298
9.44,5.99E+17,0.0480283,6.2087
9.441,6.22E+17,0.0481108,6.22499
9.442,6.45E+17,0.0481874,6.24188
9.443,6.69E+17,0.0482581,6.25938
9.444,6.94E+17,0.0483229,6.2775
9.445,7.18E+17,0.0483816,6.29625
9.446,7.44E+17,0.0484342,6.31565
9.447,7.69E+17,0.0484807,6.33571
9.448,7.95E+17,0.048521,6.35645
9.449,8.22E+17,0.0485551,6.37787
9.45,8.48E+17,0.0485828,6.4
9.451,8.75E+17,0.0486042,6.42284
9.452,9.03E+17,0.0486191,6.44642
9.453,9.30E+17,0.0486275,6.47074
9.454,9.58E+17,0.0486294,6.49584
9.455,9.86E+17,0.0486247,6.52173
9.456,1.01E+18,0.0486133,6.54842
9.457,1.04E+18,0.0485952,6.57594
9.458,1.08E+18,0.0485703,6.6043
9.459,1.12E+18,0.0485386,6.63352
9.46,1.16E+18,0.0485,6.66362
9.461,1.21E+18,0.0484544,6.69462
9.462,1.24E+18,0.048402,6.72654
9.463,1.29E+18,0.0483426,6.75939
9.464,1.34E+18,0.0482764,6.79319
9.465,1.39E+18,0.0482034,6.82797
9.466,1.43E+18,0.0481236,6.86374
9.467,1.50E+18,0.0480371,6.90051
9.468,1.54E+18,0.0479438,6.93832
9.469,1.60E+18,0.0478439,6.97716
9.47,1.66E+18,0.0477374,7.01707
9.471,1.71E+18,0.0476243,7.05807
9.472,1.77E+18,0.0475046,7.10016
9.473,1.85E+18,0.0473784,7.14337
9.474,1.91E+18,0.0472457,7.18772
9.475,1.96E+18,0.0471065,7.23323
9.476,2.04E+18,0.046961,7.2799
9.477,2.12E+18,0.046809,7.32778
9.478,2.18E+18,0.0466508,7.37686
9.479,2.25E+18,0.0464862,7.42716
9.48,2.32E+18,0.0463153,7.47872
9.481,2.41E+18,0.0461382,7.53154
9.482,2.50E+18,0.045955,7.58565
9.483,2.58E+18,0.0457655,7.64106
9.484,2.67E+18,0.0455699,7.69778
9.485,2.76E+18,0.0453683,7.75585
9.486,2.85E+18,0.0451606,7.81528
9.487,2.94E+18,0.0449468,7.87608
9.488,3.03E+18,0.0447271,7.93827
9.489,3.14E+18,0.0445014,8.00188
9.49,3.23E+18,0.0442699,8.06691
9.491,3.34E+18,0.0440324,8.1334
9.492,3.46E+18,0.0437891,8.20135
9.493,3.56E+18,0.04354,8.27079
9.494,3.67E+18,0.0432852,8.34173
9.495,3.79E+18,0.0430246,8.4142
9.496,3.88E+18,0.0427583,8.4882
9.497,4.00E+18,0.0424864,8.56377
9.498,4.11E+18,0.0422089,8.64091
9.499,4.25E+18,0.0419257,8.71965
9.5,4.35E+18,0.041637,8.8
9.501,4.46E+18,0.0413429,8.88197
9.502,4.59E+18,0.0410434,8.96549
9.503,4.71E+18,0.0407388,9.0505
9.504,4.83E+18,0.0404293,9.1369
9.505,4.96E+18,0.0401151,9.22464
9.506,5.05E+18,0.0397964,9.31362
9.507,5.18E+18,0.0394734,9.40377
9.508,5.32E+18,0.0391463,9.49502
9.509,5.42E+18,0.0388153,9.58728
9.51,5.56E+18,0.0384807,9.68049
9.511,5.67E+18,0.0381425,9.77456
9.512,5.78E+18,0.0378011,9.86942
9.513,5.89E+18,0.0374565,9.965
9.514,6.00E+18,0.0371091,10.0612
9.515,6.12E+18,0.036759,10.158
9.516,6.20E+18,0.0364065,10.2552
9.517,6.30E+18,0.0360517,10.3529
9.518,6.37E+18,0.0356948,10.4508
9.519,6.46E+18,0.035336,10.5491
9.52,6.56E+18,0.0349756,10.6475
9.521,6.62E+18,0.0346137,10.746
9.522,6.68E+18,0.0342506,10.8445
9.523,6.73E+18,0.0338864,10.943
9.524,6.79E+18,0.0335213,11.0413
9.525,6.81E+18,0.0331556,11.1394
9.526,6.84E+18,0.0327894,11.2373
9.527,6.87E+18,0.032423,11.3347
9.528,6.88E+18,0.0320566,11.4318
9.529,6.87E+18,0.0316903,11.5283
9.53,6.87E+18,0.0313244,11.6242
