Time (ns),Neutrons out per ns,DSR,Tion(keV) new,Time shifted per above cell for overplotting
9.221,1.90E+18,0.0410831,6.99411,9.511
9.222,1.96E+18,0.0410265,7.01867,9.512
9.223,2.02E+18,0.0409684,7.04833,9.513
9.224,2.08E+18,0.040931,7.07574,9.514
9.225,2.14E+18,0.0411591,7.06084,9.515
9.226,2.21E+18,0.0411693,7.07852,9.516
9.227,2.28E+18,0.0407842,7.15533,9.517
9.228,2.36E+18,0.0405492,7.2392,9.518
9.229,2.43E+18,0.0403886,7.32599,9.519
9.23,2.51E+18,0.0402207,7.35576,9.52
9.231,2.59E+18,0.039969,7.37418,9.521
9.232,2.67E+18,0.0395801,7.37405,9.522
9.233,2.75E+18,0.0397211,7.29581,9.523
9.234,2.83E+18,0.039782,7.24672,9.524
9.235,2.93E+18,0.0388513,7.41685,9.525
9.236,3.03E+18,0.0383433,7.52518,9.526
9.237,3.12E+18,0.0381497,7.58109,9.527
9.238,3.20E+18,0.0386186,7.47705,9.528
9.239,3.33E+18,0.0385814,7.51936,9.529
9.24,3.40E+18,0.0382069,7.78002,9.53
9.241,3.49E+18,0.038556,7.84233,9.531
9.242,3.62E+18,0.038258,7.86348,9.532
9.243,3.73E+18,0.0375377,7.93713,9.533
9.244,3.85E+18,0.0371174,7.94362,9.534
9.245,3.97E+18,0.0368473,7.95061,9.535
9.246,4.08E+18,0.0367435,7.9805,9.536
9.247,4.19E+18,0.0369456,8.08552,9.537
9.248,4.32E+18,0.0363225,8.26457,9.538
9.249,4.45E+18,0.035803,8.34625,9.539
9.25,4.58E+18,0.0357501,8.2499,9.54
9.251,4.70E+18,0.035842,8.44525,9.541
9.252,4.83E+18,0.035509,8.50932,9.542
9.253,4.97E+18,0.0350148,8.50957,9.543
9.254,5.10E+18,0.0349979,8.61154,9.544
9.255,5.23E+18,0.0346484,8.77743,9.545
9.256,5.37E+18,0.0343297,8.86297,9.546
9.257,5.50E+18,0.0341218,8.85108,9.547
9.258,5.64E+18,0.0338809,8.95344,9.548
9.259,5.78E+18,0.0333327,9.02245,9.549
9.26,5.92E+18,0.0328707,9.10572,9.55
9.261,6.04E+18,0.0327609,9.2358,9.551
9.262,6.17E+18,0.0324574,9.3099,9.552
9.263,6.30E+18,0.0323282,9.44888,9.553
9.264,6.42E+18,0.0321346,9.59971,9.554
9.265,6.55E+18,0.0314884,9.68055,9.555
9.266,6.68E+18,0.0309107,9.79933,9.556
9.267,6.78E+18,0.0307084,9.99797,9.557
9.268,6.89E+18,0.0306613,10.2061,9.558
9.269,7.00E+18,0.0299889,10.1937,9.559
9.27,7.05E+18,0.0303462,10.1752,9.56
9.271,7.19E+18,0.0295882,10.1862,9.561
9.272,7.25E+18,0.0293393,10.4283,9.562
9.273,7.32E+18,0.0289798,10.5891,9.563
9.274,7.39E+18,0.028439,10.6721,9.564
9.275,7.44E+18,0.0282121,10.6282,9.565
9.276,7.47E+18,0.0281818,10.6191,9.566
9.277,7.51E+18,0.027965,10.9716,9.567
9.278,7.53E+18,0.0277056,11.1671,9.568
9.279,7.54E+18,0.0272317,11.3477,9.569
9.28,7.55E+18,0.0268354,11.4214,9.57
9.281,7.53E+18,0.026785,11.3319,9.571
9.282,7.50E+18,0.0266338,11.7067,9.572
9.283,7.48E+18,0.0259377,11.4541,9.573
9.284,7.44E+18,0.0254757,11.4356,9.574
9.285,7.37E+18,0.0255052,11.9147,9.575
9.286,7.30E+18,0.0253046,11.9627,9.576
9.287,7.23E+18,0.0249181,12.1679,9.577
9.288,7.15E+18,0.0246576,12.2836,9.578
9.289,7.05E+18,0.0245298,12.2558,9.579
9.29,6.96E+18,0.0239177,12.2554,9.58
9.291,6.85E+18,0.0234598,12.4551,9.581
9.292,6.73E+18,0.0230727,12.6996,9.582
9.293,6.61E+18,0.0227204,12.9105,9.583
9.294,6.47E+18,0.0225378,12.7688,9.584
9.295,6.33E+18,0.0222934,12.8626,9.585
9.296,6.19E+18,0.0219797,13.1273,9.586
9.297,6.05E+18,0.0215336,13.042,9.587
9.298,5.87E+18,0.0211509,13.0416,9.588
9.299,5.75E+18,0.0208266,13.403,9.589
9.3,5.67E+18,0.0206591,13.5,9.59
9.301,5.37E+18,0.0205147,13.5946,9.591
9.302,5.31E+18,0.0202239,13.6866,9.592
9.303,5.13E+18,0.0197891,13.7761,9.593
9.304,4.93E+18,0.0194488,13.863,9.594
9.305,4.81E+18,0.0192789,13.9473,9.595
9.306,4.63E+18,0.0192232,14.0288,9.596
9.307,4.43E+18,0.0192189,14.1077,9.597
9.308,4.30E+18,0.0189535,14.1838,9.598
9.309,4.16E+18,0.0186743,14.2571,9.599
