Time (ns),Neutrons out per ns,DSR,Tion (keV)
9.73,1.92E+16,0.0240128,4.92
9.731,1.96E+16,0.0241692,4.92282
9.732,2.02E+16,0.0243256,4.92564
9.733,2.10E+16,0.024482,4.92847
9.734,2.20E+16,0.0246384,4.93131
9.735,2.28E+16,0.0247948,4.93417
9.736,2.35E+16,0.0249114,4.93705
9.737,2.41E+16,0.0250548,4.93995
9.738,2.47E+16,0.0251981,4.94287
9.739,2.57E+16,0.0253826,4.94583
9.74,2.68E+16,0.0255768,4.94883
9.741,2.78E+16,0.025771,4.95186
9.742,2.87E+16,0.0259917,4.95493
9.743,2.94E+16,0.0262216,4.95806
9.744,3.01E+16,0.0264516,4.96123
9.745,3.11E+16,0.0266497,4.96446
9.746,3.23E+16,0.0268322,4.96774
9.747,3.36E+16,0.0270148,4.97109
9.748,3.51E+16,0.0272618,4.9745
9.749,3.63E+16,0.0275512,4.97799
9.75,3.69E+16,0.0278406,4.98155
9.751,3.72E+16,0.0278305,4.98518
9.752,3.86E+16,0.0281259,4.9889
9.753,4.05E+16,0.0284212,4.99271
9.754,4.20E+16,0.0286702,4.9966
9.755,4.30E+16,0.0288657,5.00059
9.756,4.39E+16,0.0290612,5.00467
9.757,4.51E+16,0.0292593,5.00886
9.758,4.69E+16,0.0294615,5.01315
9.759,4.87E+16,0.0296636,5.01755
9.76,5.02E+16,0.029889,5.02206
9.761,5.14E+16,0.0301627,5.02669
9.762,5.25E+16,0.0304365,5.03145
9.763,5.40E+16,0.0306824,5.03632
9.764,5.60E+16,0.0308455,5.04133
9.765,5.81E+16,0.0310085,5.04646
9.766,6.00E+16,0.0311837,5.05174
9.767,6.13E+16,0.0314144,5.05715
9.768,6.26E+16,0.031645,5.06271
9.769,6.43E+16,0.0318795,5.06841
9.77,6.66E+16,0.0321468,5.07427
9.771,6.91E+16,0.0324141,5.08028
9.772,7.13E+16,0.0326798,5.08646
9.773,7.29E+16,0.0328984,5.09279
9.774,7.44E+16,0.033117,5.0993
9.775,7.63E+16,0.0333356,5.10598
9.776,7.91E+16,0.0335743,5.11283
9.777,8.22E+16,0.033814,5.11986
9.778,8.47E+16,0.0340537,5.12707
9.779,8.59E+16,0.0343021,5.13447
9.78,8.72E+16,0.0345516,5.14206
9.781,9.03E+16,0.0347085,5.14985
9.782,9.39E+16,0.0349682,5.15784
9.783,9.73E+16,0.0352609,5.16602
9.784,1.00E+17,0.0355536,5.17442
9.785,1.03E+17,0.0357546,5.18302
9.786,1.05E+17,0.0359215,5.19184
9.787,1.07E+17,0.0360884,5.20088
9.788,1.11E+17,0.0362761,5.21014
9.789,1.15E+17,0.0364748,5.21963
9.79,1.19E+17,0.0366736,5.22934
9.791,1.22E+17,0.0369197,5.23929
9.792,1.25E+17,0.0372009,5.24948
9.793,1.27E+17,0.0374821,5.25991
9.794,1.31E+17,0.0376843,5.27058
9.795,1.36E+17,0.037806,5.2815
9.796,1.41E+17,0.0379278,5.29268
9.797,1.45E+17,0.0380819,5.30412
9.798,1.49E+17,0.0382814,5.31581
9.799,1.52E+17,0.0384808,5.32777
9.8,1.57E+17,0.0387277,5.34
9.801,1.63E+17,0.0390678,5.3525
9.802,1.69E+17,0.0394079,5.36527
9.803,1.74E+17,0.0396759,5.37832
9.804,1.77E+17,0.0397369,5.39163
9.805,1.81E+17,0.0397979,5.40521
9.806,1.90E+17,0.0399024,5.41906
9.807,2.02E+17,0.0402039,5.43318
9.808,2.10E+17,0.0405054,5.44757
9.809,2.04E+17,0.0407821,5.46222
9.81,1.86E+17,0.0409149,5.47713
9.811,1.86E+17,0.0411158,5.49231
9.812,1.96E+17,0.0413061,5.50775
9.813,2.04E+17,0.041428,5.52345
9.814,2.10E+17,0.0415499,5.53941
9.815,2.15E+17,0.0417095,5.55563
9.816,2.22E+17,0.0419823,5.57211
9.817,2.30E+17,0.0422552,5.58885
9.818,2.38E+17,0.0425054,5.60584
9.819,2.46E+17,0.0427186,5.62309
9.82,2.54E+17,0.0429319,5.6406
9.821,2.63E+17,0.043094,5.65836
9.822,2.72E+17,0.0432163,5.67637
9.823,2.82E+17,0.0433386,5.69464
9.824,2.92E+17,0.0434281,5.71315
9.825,3.02E+17,0.0435091,5.73192
9.826,3.13E+17,0.0436057,5.75093
9.827,3.24E+17,0.0439091,5.7702
9.828,3.36E+17,0.0442125,5.78971
9.829,3.48E+17,0.0444199,5.80947
9.83,3.62E+17,0.0444804,5.82947
9.831,3.75E+17,0.0445408,5.84972
9.832,3.89E+17,0.044656,5.87021
9.833,4.04E+17,0.0447879,5.89095
9.834,4.19E+17,0.0449096,5.91192
9.835,4.35E+17,0.0449853,5.93314
9.836,4.52E+17,0.0450611,5.9546
9.837,4.70E+17,0.0452498,5.97629
9.838,4.88E+17,0.0455019,5.99823
9.839,5.07E+17,0.0457651,6.0204
9.84,5.27E+17,0.046095,6.04281
9.841,5.47E+17,0.0459722,6.06545
9.842,5.69E+17,0.0460708,6.08833
9.843,5.90E+17,0.0462899,6.11144
9.844,6.13E+17,0.0464383,6.13478
9.845,6.37E+17,0.0463994,6.15835
9.846,6.62E+17,0.0463606,6.18216
9.847,6.87E+17,0.0464897,6.20619
9.848,7.13E+17,0.0466376,6.23046
9.849,7.40E+17,0.0467364,6.25495
9.85,7.69E+17,0.0467967,6.27967
9.851,7.98E+17,0.0467977,6.30462
9.852,8.28E+17,0.0466283,6.32985
9.853,8.60E+17,0.0464589,6.35543
9.854,8.93E+17,0.0466241,6.3814
9.855,9.28E+17,0.0467917,6.40782
9.856,9.64E+17,0.046739,6.43474
9.857,1.00E+18,0.0466183,6.46223
9.858,1.04E+18,0.0467299,6.49034
9.859,1.08E+18,0.0470159,6.51913
9.86,1.13E+18,0.0471932,6.54865
9.861,1.17E+18,0.0472149,6.57896
9.862,1.22E+18,0.0472504,6.61011
9.863,1.27E+18,0.047316,6.64216
9.864,1.32E+18,0.0473604,6.67517
9.865,1.38E+18,0.0473505,6.7092
9.866,1.43E+18,0.0472395,6.74429
9.867,1.49E+18,0.0469033,6.78051
9.868,1.57E+18,0.0468027,6.81792
9.869,1.65E+18,0.0470586,6.85656
9.87,1.67E+18,0.0468912,6.8965
9.871,1.77E+18,0.0468527,6.93779
9.872,1.88E+18,0.0468946,6.98048
9.873,1.95E+18,0.0469638,7.02464
9.874,2.04E+18,0.0469698,7.07033
9.875,2.15E+18,0.0469185,7.11758
9.876,2.25E+18,0.0467326,7.16647
9.877,2.37E+18,0.0466873,7.21705
9.878,2.49E+18,0.04671,7.26938
9.879,2.62E+18,0.0465385,7.3235
9.88,2.76E+18,0.0465364,7.37949
9.881,2.90E+18,0.0467157,7.43739
9.882,3.06E+18,0.0465209,7.49726
9.883,3.23E+18,0.0465214,7.55915
9.884,3.41E+18,0.0466896,7.62313
9.885,3.61E+18,0.045998,7.68925
9.886,3.82E+18,0.0458732,7.75756
9.887,4.04E+18,0.0459349,7.82813
9.888,4.28E+18,0.0457387,7.901
9.889,4.54E+18,0.0456237,7.97624
9.89,4.81E+18,0.0451587,8.0539
9.891,5.13E+18,0.0447305,8.13403
9.892,5.48E+18,0.0446012,8.2167
9.893,5.83E+18,0.0446147,8.30196
9.894,6.22E+18,0.0443504,8.38987
9.895,6.64E+18,0.044142,8.48047
9.896,7.12E+18,0.0442812,8.57384
9.897,7.63E+18,0.0439238,8.67002
9.898,8.17E+18,0.0434322,8.76907
9.899,8.81E+18,0.0431069,8.87104
9.9,9.38E+18,0.0432488,8.976
