MeV,time1 (ps),time2 (ps)
13.809,-18960,-15792
13.81,-18970,-15801
13.811,-18981,-15810
13.812,-18991,-15819
13.813,-19002,-15828
13.813,-19013,-15837
13.814,-19023,-15846
13.815,-19034,-15855
13.816,-19044,-15864
13.817,-19055,-15873
13.818,-19066,-15882
13.819,-19076,-15891
13.82,-19087,-15900
13.821,-19098,-15910
13.821,-19108,-15918
13.822,-19119,-15927
13.823,-19129,-15936
13.824,-19140,-15945
13.825,-19151,-15955
13.826,-19161,-15963
13.827,-19172,-15972
13.828,-19182,-15981
13.829,-19194,-15991
13.829,-19204,-15999
13.83,-19214,-16008
13.831,-19225,-16017
13.832,-19235,-16026
13.833,-19246,-16035
13.834,-19257,-16044
13.835,-19267,-16053
13.836,-19278,-16062
13.837,-19289,-16071
13.837,-19299,-16080
13.838,-19310,-16089
13.839,-19320,-16098
13.84,-19331,-16107
13.841,-19342,-16116
13.842,-19352,-16125
13.843,-19363,-16134
13.844,-19373,-16143
13.845,-19384,-16152
13.845,-19395,-16161
13.846,-19405,-16170
13.847,-19415,-16179
13.848,-19426,-16188
13.849,-19437,-16197
13.85,-19447,-16206
13.851,-19458,-16215
13.852,-19468,-16223
13.853,-19479,-16233
13.853,-19490,-16242
13.854,-19500,-16251
13.855,-19511,-16259
13.856,-19521,-16268
13.857,-19532,-16278
13.858,-19542,-16286
13.859,-19553,-16295
13.86,-19563,-16304
13.861,-19574,-16313
13.861,-19585,-16322
13.862,-19595,-16331
13.863,-19605,-16340
13.864,-19616,-16349
13.865,-19627,-16358
13.866,-19637,-16367
13.867,-19648,-16376
13.868,-19658,-16384
13.869,-19669,-16394
13.869,-19680,-16403
13.87,-19690,-16411
13.871,-19700,-16420
13.872,-19711,-16429
13.873,-19722,-16438
13.874,-19732,-16447
13.875,-19742,-16456
13.876,-19753,-16465
13.877,-19764,-16474
13.877,-19774,-16483
13.878,-19785,-16492
13.879,-19795,-16500
13.88,-19805,-16509
13.881,-19816,-16519
13.882,-19827,-16527
13.883,-19837,-16536
13.884,-19847,-16545
13.885,-19858,-16554
13.885,-19869,-16563
13.886,-19879,-16572
13.887,-19889,-16581
13.888,-19900,-16589
13.889,-19911,-16599
13.89,-19921,-16607
13.891,-19931,-16616
13.892,-19942,-16625
13.893,-19953,-16634
13.893,-19963,-16643
13.894,-19973,-16652
13.895,-19984,-16661
13.896,-19994,-16669
13.897,-20005,-16679
13.898,-20015,-16687
13.899,-20026,-16696
13.9,-20036,-16705
13.901,-20047,-16714
13.901,-20057,-16723
13.902,-20068,-16732
13.903,-20078,-16740
13.904,-20088,-16749
13.905,-20099,-16759
13.906,-20110,-16767
13.907,-20120,-16776
13.908,-20130,-16785
13.909,-20141,-16794
13.909,-20151,-16803
13.91,-20162,-16811
13.911,-20172,-16820
13.912,-20182,-16829
13.913,-20193,-16838
13.914,-20204,-16847
13.915,-20214,-16856
13.916,-20224,-16864
13.917,-20235,-16874
13.917,-20245,-16882
13.918,-20256,-16891
13.919,-20266,-16900
13.92,-20276,-16909
13.921,-20287,-16918
13.922,-20297,-16927
13.923,-20308,-16935
13.924,-20318,-16944
13.925,-20329,-16953
13.925,-20339,-16962
13.926,-20349,-16971
13.927,-20360,-16979
13.928,-20370,-16988
13.929,-20381,-16997
13.93,-20391,-17006
13.931,-20401,-17015
13.932,-20412,-17023
13.933,-20423,-17033
13.933,-20433,-17041
13.934,-20443,-17050
13.935,-20453,-17059
13.936,-20464,-17067
13.937,-20475,-17077
13.938,-20485,-17085
13.939,-20495,-17094
13.94,-20505,-17103
13.941,-20516,-17112
13.941,-20526,-17121
13.942,-20537,-17129
13.943,-20547,-17138
13.944,-20557,-17147
13.945,-20568,-17156
13.946,-20578,-17165
13.947,-20588,-17173
13.948,-20599,-17182
13.949,-20610,-17191
13.949,-20620,-17200
13.95,-20630,-17209
13.951,-20640,-17217
13.952,-20650,-17226
13.953,-20661,-17235
13.954,-20672,-17244
13.955,-20682,-17253
13.956,-20692,-17261
13.957,-20703,-17270
13.957,-20713,-17279
13.958,-20723,-17288
13.959,-20733,-17296
13.96,-20744,-17305
13.961,-20754,-17314
13.962,-20765,-17323
13.963,-20775,-17332
13.964,-20785,-17340
13.965,-20796,-17349
13.965,-20806,-17358
13.966,-20816,-17367
13.967,-20826,-17375
13.968,-20837,-17384
13.969,-20848,-17393
13.97,-20858,-17402
13.971,-20868,-17410
13.972,-20878,-17419
13.973,-20889,-17428
13.973,-20899,-17437
13.974,-20909,-17446
13.975,-20919,-17454
13.976,-20930,-17463
13.977,-20940,-17472
13.978,-20951,-17481
13.979,-20961,-17489
13.98,-20971,-17498
13.981,-20982,-17507
13.981,-20992,-17516
13.982,-21002,-17524
13.983,-21012,-17533
13.984,-21022,-17541
13.985,-21033,-17551
13.986,-21043,-17559
13.987,-21053,-17568
13.988,-21064,-17577
13.989,-21074,-17586
13.989,-21085,-17594
13.99,-21095,-17603
13.991,-21105,-17611
13.992,-21115,-17620
13.993,-21126,-17629
13.994,-21136,-17638
13.995,-21146,-17646
13.996,-21156,-17655
13.997,-21167,-17664
13.997,-21177,-17673
13.998,-21187,-17681
13.999,-21198,-17690
14,-21208,-17699
14.001,-21218,-17708
14.002,-21228,-17716
14.003,-21239,-17725
14.004,-21249,-17734
14.005,-21259,-17743
14.005,-21269,-17751
14.006,-21280,-17760
14.007,-21290,-17769
14.008,-21300,-17777
14.009,-21311,-17786
14.01,-21321,-17794
14.011,-21331,-17803
14.012,-21341,-17812
14.013,-21352,-17821
14.013,-21362,-17829
14.014,-21372,-17838
14.015,-21382,-17847
14.016,-21392,-17855
14.017,-21403,-17864
14.018,-21413,-17873
14.019,-21423,-17882
14.02,-21433,-17890
14.021,-21444,-17899
14.021,-21454,-17908
14.022,-21464,-17917
14.023,-21474,-17925
14.024,-21484,-17933
14.025,-21495,-17942
14.026,-21505,-17951
14.027,-21515,-17960
14.028,-21525,-17968
14.029,-21536,-17977
14.029,-21546,-17986
14.03,-21556,-17995
14.031,-21566,-18003
14.032,-21577,-18012
14.033,-21587,-18020
14.034,-21597,-18029
14.035,-21607,-18038
14.036,-21617,-18046
14.037,-21628,-18055
14.037,-21638,-18063
14.038,-21648,-18072
14.039,-21658,-18081
14.04,-21669,-18090
14.041,-21679,-18098
14.042,-21688,-18107
14.043,-21699,-18116
14.044,-21709,-18124
14.045,-21720,-18133
14.045,-21729,-18141
14.046,-21740,-18150
14.047,-21750,-18159
14.048,-21760,-18168
14.049,-21770,-18176
14.05,-21780,-18184
14.051,-21791,-18193
14.052,-21801,-18202
14.053,-21811,-18211
14.053,-21821,-18219
14.054,-21832,-18228
14.055,-21841,-18236
14.056,-21852,-18245
14.057,-21862,-18254
14.058,-21872,-18263
14.059,-21882,-18271
14.06,-21892,-18279
14.061,-21903,-18288
14.061,-21912,-18297
14.062,-21923,-18306
14.063,-21933,-18314
14.064,-21943,-18323
14.065,-21953,-18331
14.066,-21964,-18340
14.067,-21974,-18348
14.068,-21983,-18357
14.069,-21994,-18366
14.069,-22004,-18374
14.07,-22014,-18383
14.071,-22024,-18391
14.072,-22035,-18400
14.073,-22044,-18409
14.074,-22055,-18418
14.075,-22065,-18426
14.076,-22075,-18434
14.076,-22085,-18443
14.077,-22095,-18451
14.078,-22105,-18460
14.079,-22115,-18469
14.08,-22126,-18478
14.081,-22136,-18486
14.082,-22146,-18495
14.083,-22156,-18503
14.084,-22166,-18512
14.084,-22176,-18520
14.085,-22186,-18529
14.086,-22197,-18538
14.087,-22206,-18546
14.088,-22217,-18555
14.089,-22227,-18563
14.09,-22237,-18572
14.091,-22247,-18580
14.092,-22257,-18589
14.092,-22267,-18598
14.093,-22277,-18606
14.094,-22287,-18615
14.095,-22297,-18623
14.096,-22308,-18632
14.097,-22317,-18640
14.098,-22328,-18649
14.099,-22338,-18657
14.1,-22348,-18666
14.1,-22358,-18675
14.101,-22368,-18683
14.102,-22378,-18692
14.103,-22388,-18700
14.104,-22398,-18709
14.105,-22408,-18717
14.106,-22419,-18726
14.107,-22428,-18734
14.108,-22439,-18743
14.108,-22449,-18752
14.109,-22458,-18760
14.11,-22469,-18769
14.111,-22479,-18777
14.112,-22489,-18786
14.113,-22499,-18794
14.114,-22509,-18803
14.115,-22519,-18811
14.116,-22529,-18820
14.116,-22539,-18828
14.117,-22550,-18837
14.118,-22559,-18846
14.119,-22569,-18854
14.12,-22580,-18863
14.121,-22589,-18871
14.122,-22600,-18880
14.123,-22610,-18888
14.124,-22620,-18897
14.124,-22630,-18905
14.125,-22640,-18914
14.126,-22650,-18922
14.127,-22660,-18931
14.128,-22670,-18939
14.129,-22680,-18948
14.13,-22690,-18956
14.131,-22700,-18965
14.132,-22710,-18974
14.132,-22720,-18982
14.133,-22730,-18991
14.134,-22740,-18999
14.135,-22750,-19007
14.136,-22760,-19016
14.137,-22770,-19024
14.138,-22780,-19033
14.139,-22790,-19041
14.14,-22800,-19050
14.14,-22810,-19058
14.141,-22821,-19067
14.142,-22830,-19075
14.143,-22841,-19084
14.144,-22850,-19092
14.145,-22860,-19101
14.146,-22870,-19109
14.147,-22880,-19118
14.148,-22891,-19126
14.148,-22900,-19135
14.149,-22911,-19144
14.15,-22920,-19152
14.151,-22931,-19161
14.152,-22940,-19169
14.153,-22950,-19177
14.154,-22960,-19186
14.155,-22970,-19194
14.156,-22980,-19203
14.156,-22990,-19211
14.157,-23001,-19220
14.158,-23010,-19228
14.159,-23021,-19237
14.16,-23030,-19245
14.161,-23040,-19253
14.162,-23050,-19262
14.163,-23060,-19270
14.164,-23070,-19279
14.164,-23080,-19287
14.165,-23090,-19296
14.166,-23100,-19304
14.167,-23110,-19313
14.168,-23120,-19321
14.169,-23130,-19330
14.17,-23140,-19338
14.171,-23150,-19346
14.172,-23160,-19355
14.172,-23170,-19363
14.173,-23180,-19372
14.174,-23190,-19380
14.175,-23200,-19389
14.176,-23210,-19397
14.177,-23220,-19406
14.178,-23230,-19414
14.179,-23239,-19422
14.18,-23250,-19431
14.18,-23259,-19439
14.181,-23270,-19448
14.182,-23279,-19456
14.183,-23289,-19465
14.184,-23299,-19473
14.185,-23309,-19482
14.186,-23319,-19490
14.187,-23329,-19498
14.188,-23339,-19507
14.188,-23349,-19515
14.189,-23359,-19524
14.19,-23369,-19532
14.191,-23379,-19541
14.192,-23388,-19549
14.193,-23399,-19558
14.194,-23408,-19566
14.195,-23418,-19574
14.196,-23428,-19583
14.196,-23438,-19591
14.197,-23448,-19600
14.198,-23458,-19608
14.199,-23468,-19616
14.2,-23478,-19625
14.201,-23488,-19633
14.202,-23498,-19642
14.203,-23508,-19650
14.204,-23518,-19658
14.204,-23527,-19667
14.205,-23537,-19675
14.206,-23547,-19683
14.207,-23557,-19692
14.208,-23567,-19700
14.209,-23577,-19709
14.21,-23587,-19717
14.211,-23597,-19726
14.212,-23607,-19734
14.212,-23616,-19742
14.213,-23626,-19751
14.214,-23636,-19759
14.215,-23646,-19768
14.216,-23656,-19776
14.217,-23666,-19784
14.218,-23676,-19793
14.219,-23686,-19801
14.22,-23696,-19809
14.22,-23705,-19818
14.221,-23715,-19826
14.222,-23725,-19834
14.223,-23735,-19843
14.224,-23745,-19851
14.225,-23755,-19860
14.226,-23765,-19868
14.227,-23775,-19877
14.228,-23784,-19885
14.229,-23795,-19893
14.229,-23804,-19902
14.23,-23814,-19910
14.231,-23824,-19918
14.232,-23834,-19926
14.233,-23844,-19935
14.234,-23853,-19943
14.235,-23864,-19952
14.236,-23873,-19960
14.237,-23883,-19969
14.237,-23893,-19977
14.238,-23902,-19985
14.239,-23913,-19994
14.24,-23922,-20002
14.241,-23932,-20010
14.242,-23942,-20018
14.243,-23952,-20027
14.244,-23962,-20035
14.245,-23972,-20044
14.245,-23981,-20052
14.246,-23991,-20060
14.247,-24001,-20069
14.248,-24011,-20077
14.249,-24021,-20085
14.25,-24030,-20093
14.251,-24041,-20102
14.252,-24050,-20110
14.253,-24060,-20119
14.253,-24070,-20127
14.254,-24080,-20136
14.255,-24090,-20144
14.256,-24099,-20152
14.257,-24109,-20160
14.258,-24119,-20168
14.259,-24129,-20177
14.26,-24139,-20185
14.261,-24149,-20194
14.261,-24158,-20202
14.262,-24168,-20210
14.263,-24178,-20218
14.264,-24187,-20227
14.265,-24198,-20235
14.266,-24207,-20243
14.267,-24217,-20252
14.268,-24227,-20260
14.268,-24236,-20268
14.269,-24246,-20277
14.27,-24257,-20285
14.271,-24266,-20293
14.272,-24276,-20302
14.273,-24286,-20310
14.274,-24295,-20318
14.275,-24305,-20326
14.276,-24315,-20335
14.276,-24325,-20343
14.277,-24335,-20351
14.278,-24345,-20360
14.279,-24355,-20368
14.28,-24364,-20376
14.281,-24374,-20385
14.282,-24384,-20393
14.283,-24393,-20401
14.284,-24403,-20409
14.285,-24413,-20418
14.285,-24422,-20426
14.286,-24432,-20434
14.287,-24442,-20443
14.288,-24452,-20451
14.289,-24462,-20459
14.29,-24472,-20468
14.291,-24481,-20475
14.292,-24491,-20484
14.293,-24501,-20492
14.293,-24510,-20500
14.294,-24520,-20509
14.295,-24530,-20517
14.296,-24539,-20525
14.297,-24549,-20534
14.298,-24559,-20542
14.299,-24569,-20550
14.3,-24579,-20558
14.301,-24589,-20567
14.301,-24599,-20575
14.302,-24608,-20583
14.303,-24618,-20591
14.304,-24628,-20600
14.305,-24637,-20608
14.306,-24647,-20616
14.307,-24657,-20625
14.308,-24666,-20633
14.308,-24676,-20641
14.309,-24686,-20649
14.31,-24695,-20657
14.311,-24705,-20666
14.312,-24715,-20674
14.313,-24725,-20682
14.314,-24735,-20690
14.315,-24744,-20699
14.316,-24754,-20707
14.316,-24764,-20715
14.317,-24774,-20724
14.318,-24783,-20731
14.319,-24793,-20740
14.32,-24803,-20748
14.321,-24813,-20757
14.322,-24822,-20765
14.323,-24832,-20773
14.324,-24842,-20781
14.324,-24851,-20789
14.325,-24861,-20798
14.326,-24871,-20806
14.327,-24880,-20814
14.328,-24890,-20822
14.329,-24900,-20831
14.33,-24909,-20838
14.331,-24919,-20847
14.332,-24929,-20855
14.332,-24938,-20863
14.333,-24948,-20872
14.334,-24958,-20880
14.335,-24967,-20888
14.336,-24977,-20896
14.337,-24987,-20905
14.338,-24996,-20912
14.339,-25006,-20921
14.34,-25016,-20929
14.341,-25026,-20938
14.341,-25035,-20945
14.342,-25045,-20954
14.343,-25055,-20962
14.344,-25064,-20970
14.345,-25074,-20978
14.346,-25084,-20987
14.347,-25093,-20995
14.348,-25103,-21003
14.349,-25113,-21011
14.349,-25122,-21019
14.35,-25132,-21027
14.351,-25142,-21036
14.352,-25151,-21044
14.353,-25161,-21052
14.354,-25171,-21060
14.355,-25180,-21068
14.356,-25190,-21077
14.357,-25200,-21085
14.357,-25209,-21093
14.358,-25219,-21101
14.359,-25229,-21109
14.36,-25238,-21117
14.361,-25248,-21126
14.362,-25258,-21134
14.363,-25268,-21142
14.364,-25277,-21150
14.365,-25287,-21158
14.365,-25297,-21167
14.366,-25306,-21175
14.367,-25316,-21183
14.368,-25326,-21191
14.369,-25335,-21199
14.37,-25345,-21207
14.371,-25354,-21216
14.372,-25364,-21224
14.372,-25373,-21232
14.373,-25383,-21240
14.374,-25392,-21248
14.375,-25402,-21256
14.376,-25412,-21265
14.377,-25421,-21272
14.378,-25431,-21281
14.379,-25441,-21289
14.38,-25450,-21297
14.38,-25460,-21305
14.381,-25470,-21314
14.382,-25480,-21322
14.383,-25489,-21330
14.384,-25499,-21338
14.385,-25508,-21346
14.386,-25518,-21354
14.387,-25527,-21362
14.388,-25537,-21371
14.388,-25546,-21379
14.389,-25556,-21387
14.39,-25566,-21395
14.391,-25575,-21403
14.392,-25585,-21411
14.393,-25595,-21420
14.394,-25604,-21427
14.395,-25614,-21436
14.396,-25624,-21444
14.396,-25633,-21452
14.397,-25643,-21460
14.398,-25652,-21468
14.399,-25662,-21476
14.4,-25671,-21484
14.401,-25681,-21493
14.402,-25690,-21500
14.403,-25700,-21509
14.404,-25710,-21517
14.405,-25720,-21525
14.405,-25729,-21533
14.406,-25739,-21541
14.407,-25748,-21550
14.408,-25758,-21557
14.409,-25767,-21566
14.41,-25777,-21574
14.411,-25786,-21582
14.412,-25796,-21590
14.413,-25806,-21598
14.413,-25815,-21606
14.414,-25825,-21614
14.415,-25835,-21623
14.416,-25844,-21630
14.417,-25853,-21639
14.418,-25863,-21647
14.419,-25872,-21655
14.42,-25882,-21663
14.421,-25892,-21671
14.421,-25901,-21679
14.422,-25911,-21687
14.423,-25921,-21695
14.424,-25930,-21704
14.425,-25939,-21711
14.426,-25949,-21720
14.427,-25959,-21728
14.428,-25968,-21736
14.428,-25978,-21744
14.429,-25988,-21752
14.43,-25997,-21760
14.431,-26006,-21768
14.432,-26016,-21776
14.433,-26025,-21784
14.434,-26035,-21792
14.435,-26045,-21801
14.436,-26054,-21808
14.436,-26064,-21817
14.437,-26073,-21825
14.438,-26082,-21832
14.439,-26092,-21841
14.44,-26102,-21849
14.441,-26111,-21857
14.442,-26121,-21865
14.443,-26130,-21873
14.444,-26140,-21881
14.444,-26149,-21889
14.445,-26159,-21897
14.446,-26169,-21906
14.447,-26178,-21913
14.448,-26188,-21921
14.449,-26197,-21930
14.45,-26206,-21937
14.451,-26216,-21946
14.452,-26226,-21954
14.452,-26235,-21962
14.453,-26245,-21970
14.454,-26254,-21978
14.455,-26263,-21986
14.456,-26273,-21994
14.457,-26283,-22002
14.458,-26292,-22010
14.459,-26302,-22018
14.46,-26311,-22026
14.46,-26320,-22034
14.461,-26330,-22042
14.462,-26340,-22050
14.463,-26349,-22058
14.464,-26359,-22066
14.465,-26368,-22074
14.466,-26378,-22083
14.467,-26387,-22090
14.468,-26397,-22099
14.469,-26406,-22107
14.469,-26415,-22114
14.47,-26425,-22123
14.471,-26435,-22131
14.472,-26444,-22139
14.473,-26454,-22147
14.474,-26463,-22155
14.475,-26472,-22163
14.476,-26482,-22171
14.477,-26492,-22179
14.477,-26501,-22187
14.478,-26510,-22195
14.479,-26520,-22203
14.48,-26529,-22211
14.481,-26539,-22219
14.482,-26549,-22227
14.483,-26558,-22235
14.484,-26567,-22243
14.485,-26577,-22251
14.485,-26587,-22259
14.486,-26596,-22267
14.487,-26605,-22275
14.488,-26615,-22283
14.489,-26624,-22291
14.49,-26634,-22299
14.491,-26643,-22307
14.492,-26652,-22315
14.492,-26662,-22323
14.493,-26672,-22331
14.494,-26681,-22339
14.495,-26690,-22347
14.496,-26700,-22355
14.497,-26709,-22363
14.498,-26719,-22371
14.499,-26728,-22379
14.5,-26737,-22387
14.5,-26747,-22395
14.501,-26757,-22403
14.502,-26766,-22411
14.503,-26775,-22419
14.504,-26785,-22427
14.505,-26794,-22435
14.506,-26804,-22443
14.507,-26813,-22451
14.508,-26823,-22459
14.508,-26832,-22467
14.509,-26841,-22475
14.51,-26851,-22483
14.511,-26860,-22491
14.512,-26870,-22499
14.513,-26879,-22507
14.514,-26888,-22515
14.515,-26898,-22523
14.516,-26908,-22531
14.516,-26917,-22538
14.517,-26926,-22547
14.518,-26936,-22555
14.519,-26945,-22562
14.52,-26954,-22571
14.521,-26964,-22579
14.522,-26973,-22586
14.523,-26983,-22594
14.524,-26992,-22603
14.524,-27001,-22610
14.525,-27011,-22618
14.526,-27021,-22626
14.527,-27030,-22635
14.528,-27039,-22642
14.529,-27049,-22650
14.53,-27058,-22658
14.531,-27067,-22666
14.532,-27077,-22674
14.533,-27087,-22682
14.533,-27095,-22690
14.534,-27105,-22698
14.535,-27115,-22706
14.536,-27124,-22714
14.537,-27133,-22722
14.538,-27143,-22730
14.539,-27152,-22737
14.54,-27161,-22746
14.541,-27171,-22754
14.541,-27180,-22761
14.542,-27190,-22769
14.543,-27199,-22777
14.544,-27208,-22785
14.545,-27218,-22793
14.546,-27227,-22801
14.547,-27237,-22809
14.548,-27246,-22817
14.549,-27255,-22825
14.549,-27265,-22833
14.55,-27274,-22841
14.551,-27283,-22849
14.552,-27293,-22857
14.553,-27302,-22864
14.554,-27312,-22873
14.555,-27321,-22881
14.556,-27331,-22889
14.557,-27340,-22896
14.557,-27349,-22904
14.558,-27358,-22912
14.559,-27368,-22920
14.56,-27377,-22928
14.561,-27386,-22936
14.562,-27396,-22944
14.563,-27405,-22952
14.564,-27415,-22960
14.565,-27424,-22968
14.565,-27433,-22976
14.566,-27443,-22983
14.567,-27452,-22991
14.568,-27462,-22999
14.569,-27470,-23007
14.57,-27480,-23015
14.571,-27489,-23023
14.572,-27499,-23031
14.572,-27508,-23039
14.573,-27517,-23046
14.574,-27527,-23054
14.575,-27536,-23062
14.576,-27546,-23070
14.577,-27555,-23078
14.578,-27564,-23086
14.579,-27574,-23094
14.58,-27583,-23102
14.58,-27592,-23109
14.581,-27601,-23117
14.582,-27611,-23125
14.583,-27620,-23133
14.584,-27629,-23141
14.585,-27639,-23149
14.586,-27648,-23157
14.587,-27658,-23165
14.588,-27667,-23173
14.589,-27676,-23181
14.589,-27686,-23189
14.59,-27695,-23197
14.591,-27704,-23204
14.592,-27713,-23212
14.593,-27722,-23220
14.594,-27732,-23228
14.595,-27741,-23236
14.596,-27751,-23244
14.596,-27760,-23252
14.597,-27769,-23259
14.598,-27779,-23267
14.599,-27788,-23275
14.6,-27797,-23283
14.601,-27807,-23291
14.602,-27816,-23299
14.603,-27825,-23306
14.604,-27834,-23314
14.604,-27844,-23322
14.605,-27853,-23330
14.606,-27862,-23338
14.607,-27872,-23346
14.608,-27881,-23354
14.609,-27890,-23362
14.61,-27900,-23370
14.611,-27909,-23377
14.612,-27918,-23385
14.613,-27928,-23393
14.613,-27937,-23401
14.614,-27946,-23408
14.615,-27955,-23416
14.616,-27964,-23424
14.617,-27974,-23432
14.618,-27983,-23440
14.619,-27992,-23448
14.62,-28002,-23456
14.62,-28011,-23464
14.621,-28020,-23472
14.622,-28030,-23479
14.623,-28039,-23487
14.624,-28048,-23495
14.625,-28058,-23503
14.626,-28066,-23510
14.627,-28076,-23518
14.628,-28085,-23526
14.628,-28094,-23534
14.629,-28104,-23542
14.63,-28113,-23550
14.631,-28122,-23558
14.632,-28132,-23565
14.633,-28141,-23573
14.634,-28150,-23581
14.635,-28160,-23589
14.636,-28169,-23597
14.636,-28178,-23604
14.637,-28187,-23612
14.638,-28196,-23620
14.639,-28206,-23628
14.64,-28215,-23636
14.641,-28224,-23644
14.642,-28233,-23651
14.643,-28243,-23659
14.644,-28252,-23667
14.645,-28261,-23675
14.645,-28271,-23683
14.646,-28280,-23691
14.647,-28289,-23699
14.648,-28298,-23706
14.649,-28307,-23714
14.65,-28317,-23722
14.651,-28326,-23729
14.652,-28335,-23737
14.652,-28344,-23745
14.653,-28354,-23753
14.654,-28363,-23761
14.655,-28372,-23769
14.656,-28382,-23776
14.657,-28391,-23784
14.658,-28400,-23792
14.659,-28409,-23800
14.66,-28418,-23807
14.66,-28427,-23815
14.661,-28437,-23823
14.662,-28446,-23831
14.663,-28455,-23839
14.664,-28464,-23846
14.665,-28474,-23854
14.666,-28483,-23862
